Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-147,-147,-147,-147,-133,-103,-59,-16,18,32,33,22,6,-9,-21,-28,-29,-28,-19,-4,15,36,52,54,51,34,14,1,1,11,24,37,49
0.25,788.93,1786,1786,1786,1786,1824,1881,1952,2024,2085,2123,2144,2150,2147,2141,2134,2129,2129,2131,2138,2147,2155,2156,2147,2123,2095,2056,2015,1981,1957,1939,1920,1905,1900
0.5,614.42,3516,3527,3571,3638,3701,3788,3888,3988,4075,4135,4175,4198,4208,4208,4205,4202,4203,4206,4213,4218,4215,4198,4165,4116,4063,4000,3938,3884,3841,3802,3766,3736,3717
0.75,478.51,5257,5279,5334,5415,5503,5617,5744,5871,5983,6066,6126,6166,6191,6198,6199,6197,6199,6202,6207,6205,6192,6155,6100,6027,5948,5863,5781,5709,5647,5592,5540,5497,5468
1,372.66,6925,6956,7020,7114,7222,7361,7514,7665,7800,7905,7986,8047,8088,8105,8111,8112,8114,8116,8117,8107,8079,8023,7944,7847,7742,7637,7538,7449,7371,7303,7238,7185,7148
1.25,290.23,8524,8563,8635,8737,8862,9019,9189,9359,9513,9638,9740,9821,9880,9907,9919,9924,9926,9927,9923,9902,9861,9783,9681,9560,9433,9314,9202,9103,9015,8940,8870,8813,8773
1.5,226.03,10116,10162,10237,10343,10475,10638,10814,10990,11154,11292,11410,11506,11578,11613,11630,11638,11640,11641,11632,11604,11552,11458,11336,11198,11058,10934,10821,10722,10635,10559,10490,10434,10393
1.75,176.03,11716,11771,11852,11958,12088,12246,12415,12585,12747,12885,13006,13107,13182,13218,13236,13244,13247,13248,13237,13206,13149,13050,12923,12781,12643,12526,12422,12332,12255,12187,12126,12076,12038
2,137.09,13314,13382,13470,13579,13706,13854,14011,14166,14317,14440,14549,14638,14703,14731,14743,14747,14751,14754,14744,14716,14666,14577,14463,14337,14213,14109,14019,13943,13878,13823,13773,13733,13701
2.25,106.77,14905,14986,15083,15195,15321,15461,15605,15743,15875,15973,16058,16122,16167,16179,16179,16178,16183,16187,16180,16162,16127,16062,15976,15877,15779,15693,15617,15555,15503,15461,15422,15391,15367
2.5,83.15,16488,16583,16688,16803,16931,17065,17199,17319,17431,17503,17562,17601,17624,17619,17609,17600,17606,17613,17610,17602,17582,17542,17485,17415,17342,17275,17215,17168,17128,17098,17071,17049,17033
2.75,64.76,18061,18170,18282,18402,18532,18664,18790,18897,18992,19043,19081,19099,19104,19087,19068,19053,19059,19068,19068,19067,19059,19038,19003,18956,18906,18857,18812,18779,18751,18734,18718,18707,18699
3,50.43,19622,19746,19867,19992,20128,20260,20383,20479,20562,20597,20620,20623,20615,20591,20566,20544,20550,20561,20562,20565,20564,20555,20536,20507,20474,20440,20409,20389,20374,20370,20367,20367,20369
