Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,2,-17,-36,-55,-74,-65,-37,-1,30,51,62,59,42,18,0,-11,-17,-22,-25,-21,-8,11,29,34,37,26,11,-6,-17,-15,-11,-7,-2
0.25,788.93,1823,1832,1841,1850,1859,1895,1949,2009,2064,2107,2139,2156,2159,2149,2140,2134,2132,2131,2131,2138,2149,2165,2177,2171,2156,2121,2084,2052,2028,2015,2002,1989,1978
0.5,614.42,3418,3458,3569,3669,3710,3777,3856,3938,4015,4080,4136,4177,4201,4204,4202,4198,4198,4199,4203,4211,4225,4239,4246,4232,4203,4148,4091,4042,4004,3977,3950,3926,3904
0.75,478.51,5137,5189,5303,5412,5482,5577,5680,5783,5882,5971,6053,6122,6168,6184,6189,6187,6187,6189,6194,6204,6218,6230,6233,6210,6167,6094,6017,5953,5900,5859,5821,5785,5755
1,372.66,6777,6841,6955,7073,7169,7289,7414,7539,7659,7773,7883,7980,8051,8081,8094,8094,8095,8098,8104,8114,8127,8136,8134,8102,8043,7950,7855,7775,7707,7653,7604,7558,7519
1.25,290.23,8330,8405,8518,8644,8765,8909,9055,9199,9340,9479,9616,9737,9829,9871,9891,9894,9897,9901,9908,9920,9932,9939,9932,9890,9814,9703,9590,9494,9415,9350,9291,9240,9196
1.5,226.03,9831,9914,10026,10159,10308,10478,10647,10810,10970,11126,11279,11415,11517,11567,11589,11595,11600,11606,11614,11628,11641,11648,11638,11590,11504,11381,11258,11155,11072,11005,10947,10897,10857
1.75,176.03,11288,11387,11508,11659,11835,12031,12223,12400,12571,12729,12883,13018,13120,13168,13190,13196,13201,13208,13219,13235,13251,13261,13253,13206,13121,13001,12882,12784,12707,12648,12598,12557,12525
2,137.09,12717,12836,12978,13157,13364,13586,13799,13984,14158,14303,14443,14562,14651,14690,14708,14714,14717,14722,14738,14757,14777,14793,14793,14757,14688,14587,14486,14403,14339,14291,14251,14219,14196
2.25,106.77,14124,14266,14432,14646,14889,15140,15377,15566,15738,15861,15975,16067,16134,16159,16171,16175,16176,16179,16198,16222,16247,16273,16284,16268,16226,16155,16083,16022,15975,15939,15909,15885,15869
2.5,83.15,15516,15683,15876,16127,16409,16691,16952,17148,17318,17418,17506,17571,17616,17628,17633,17635,17633,17634,17657,17684,17715,17749,17773,17777,17762,17723,17681,17643,17613,17589,17569,17554,17544
2.75,64.76,16897,17090,17313,17603,17924,18238,18524,18728,18900,18982,19050,19095,19124,19127,19127,19127,19120,19118,19145,19175,19209,19252,19286,19306,19314,19301,19284,19267,19254,19242,19232,19224,19220
3,50.43,18269,18490,18745,19075,19436,19782,20094,20310,20487,20556,20612,20643,20662,20659,20655,20652,20641,20635,20665,20698,20735,20784,20826,20858,20884,20891,20895,20895,20897,20896,20895,20895,20896
3.25,39.28,19634,19887,20175,20546,20949,21327,21667,21896,22083,22144,22194,22217,22229,22220,22212,22203,22187,22179,22213,22249,22288,22342,22392,22433,22471,22493,22512,22527,22540,22549,22557,22564,22571
3.5,30.59,20995,21282,21602,22015,22461,22873,23244,23488,23689,23746,23792,23810,23818,23803,23788,23773,23753,23744,23782,23822,23862,23921,23977,24027,24075,24108,24139,24164,24187,24204,24219,24232,24244
3.75,23.82,22340,22661,23018,23474,23963,24415,24820,25085,25305,25363,25411,25425,25429,25409,25388,25367,25344,25334,25377,25421,25464,25528,25591,25647,25701,25742,25781,25813,25844,25867,25888,25907,25924
4,18.55,23660,24020,24420,24926,25460,25956,26400,26690,26930,26996,27047,27060,27060,27036,27011,26984,26959,26949,26995,27042,27088,27159,27227,27289,27348,27396,27442,27480,27516,27543,27569,27592,27615
4.25,14.45,24987,25391,25839,26395,26968,27509,27988,28306,28566,28645,28703,28714,28712,28686,28659,28628,28601,28590,28638,28687,28736,28813,28888,28954,29017,29074,29128,29171,29212,29243,29273,29301,29326
4.5,11.25,26363,26809,27301,27901,28506,29081,29589,29931,30210,30304,30371,30385,30381,30356,30329,30294,30266,30254,30305,30356,30407,30488,30568,30640,30708,30776,30840,30890,30935,30969,31004,31035,31061
4.75,8.764,27815,28299,28828,29462,30088,30683,31208,31570,31865,31975,32054,32074,32074,32051,32025,31988,31959,31947,31999,32050,32103,32187,32271,32348,32423,32504,32579,32638,32688,32726,32764,32798,32825
5,6.826,29348,29866,30426,31084,31722,32324,32856,33229,33538,33664,33756,33787,33795,33776,33752,33715,33684,33672,33723,33774,33829,33913,34000,34083,34165,34261,34348,34417,34472,34516,34558,34595,34620
5.25,5.316,30969,31517,32103,32778,33419,34015,34543,34921,35240,35379,35485,35532,35553,35540,35519,35483,35451,35436,35484,35534,35591,35673,35762,35853,35943,36053,36151,36232,36295,36345,36392,36433,36456
5.5,4.14,32658,33234,33842,34527,35166,35748,36266,36643,36970,37121,37243,37308,37345,37338,37321,37287,37253,37235,37278,37326,37381,37462,37555,37654,37757,37878,37987,38078,38149,38208,38261,38306,38328
