Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-85,-122,-154,-174,-154,-122,-85,-40,2,8,24,18,2,-13,-24,-29,-30,-30,-22,-5,17,36,45,41,24,1,-28,-31,-23,-19,-6,2,5
0.25,788.93,1682,1717,1752,1787,1822,1874,1934,2004,2070,2102,2137,2146,2141,2132,2126,2123,2123,2124,2132,2143,2151,2148,2132,2099,2055,2004,1953,1920,1899,1878,1862,1848,1842
0.5,614.42,3647,3644,3649,3675,3725,3797,3880,3974,4064,4121,4174,4197,4202,4198,4194,4192,4193,4196,4204,4209,4206,4180,4135,4073,3999,3922,3848,3795,3755,3719,3689,3663,3645
0.75,478.51,5434,5436,5451,5489,5552,5642,5748,5866,5979,6060,6129,6168,6184,6185,6184,6184,6186,6190,6197,6196,6181,6131,6059,5967,5865,5762,5668,5596,5540,5491,5449,5412,5385
1,372.66,7141,7147,7171,7219,7294,7403,7531,7671,7805,7909,7996,8051,8081,8090,8092,8094,8098,8102,8107,8098,8068,7996,7895,7773,7643,7518,7405,7316,7246,7185,7132,7087,7052
1.25,290.23,8773,8782,8812,8869,8954,9076,9220,9377,9529,9653,9756,9828,9873,9890,9896,9899,9903,9908,9909,9892,9849,9756,9628,9478,9325,9183,9057,8956,8874,8804,8743,8691,8650
1.5,226.03,10401,10408,10441,10500,10588,10714,10861,11022,11181,11317,11431,11516,11571,11593,11602,11606,11611,11616,11614,11590,11538,11430,11283,11116,10949,10800,10670,10563,10474,10397,10329,10272,10227
1.75,176.03,12051,12056,12086,12142,12224,12343,12482,12633,12783,12917,13031,13117,13175,13197,13206,13211,13216,13220,13215,13188,13133,13022,12873,12704,12538,12390,12262,12154,12061,11975,11900,11837,11784
2,137.09,13722,13724,13750,13799,13873,13979,14101,14231,14361,14476,14574,14647,14695,14711,14716,14718,14721,14724,14718,14694,14644,14546,14413,14260,14108,13969,13846,13737,13641,13545,13459,13386,13321
2.25,106.77,15414,15414,15433,15473,15536,15624,15723,15825,15925,16009,16079,16129,16158,16161,16158,16155,16156,16158,16153,16135,16100,16025,15921,15797,15669,15544,15429,15320,15218,15111,15012,14926,14847
2.5,83.15,17120,17117,17129,17158,17206,17274,17347,17419,17487,17539,17580,17605,17615,17605,17593,17584,17583,17584,17581,17571,17549,17497,17424,17329,17227,17118,17011,16900,16793,16672,16558,16457,16362
2.75,64.76,18837,18831,18835,18851,18881,18926,18972,19016,19055,19080,19096,19102,19096,19077,19059,19044,19040,19039,19038,19034,19022,18988,18938,18866,18787,18690,18590,18478,18364,18228,18097,17979,17868
3,50.43,20561,20552,20548,20551,20562,20583,20603,20621,20635,20637,20635,20625,20609,20584,20561,20541,20533,20529,20530,20530,20526,20502,20468,20413,20351,20263,20167,20051,19928,19775,19626,19490,19361
3.25,39.28,22290,22278,22266,22256,22250,22249,22247,22243,22236,22221,22203,22182,22157,22130,22103,22077,22065,22059,22060,22063,22062,22046,22020,21975,21922,21837,21740,21615,21479,21307,21137,20982,20833
3.5,30.59,24020,24004,23987,23967,23945,23925,23905,23883,23860,23830,23799,23768,23736,23705,23675,23645,23629,23619,23622,23625,23628,23615,23594,23553,23503,23414,23311,23173,23022,22826,22634,22458,22287
3.75,23.82,25750,25728,25711,25686,25650,25613,25577,25540,25502,25462,25421,25382,25343,25309,25275,25241,25222,25210,25215,25219,25223,25210,25189,25146,25092,24994,24881,24728,24558,24339,24123,23925,23733
4,18.55,27485,27455,27445,27420,27369,27316,27264,27213,27163,27113,27063,27016,26971,26933,26896,26859,26837,26824,26830,26835,26840,26826,26801,26751,26688,26579,26452,26280,26088,25842,25598,25375,25161
4.25,14.45,29244,29207,29205,29185,29116,29045,28978,28914,28851,28791,28730,28675,28623,28580,28538,28499,28476,28463,28471,28476,28478,28464,28436,28375,28296,28171,28027,27834,27618,27342,27063,26813,26574
4.5,11.25,31047,31003,31005,30983,30896,30807,30721,30644,30569,30496,30424,30361,30304,30252,30206,30164,30141,30130,30140,30143,30142,30127,30093,30019,29921,29775,29610,29396,29154,28847,28530,28252,27993
4.75,8.764,32903,32852,32850,32821,32715,32608,32504,32411,32325,32238,32155,32082,32019,31959,31909,31865,31844,31834,31846,31845,31839,31820,31778,31687,31566,31394,31203,30967,30701,30364,30012,29707,29433
5,6.826,34805,34747,34740,34700,34575,34452,34330,34222,34124,34024,33930,33846,33774,33705,33653,33608,33588,33580,33592,33587,33576,33549,33492,33382,33235,33030,32807,32548,32260,31898,31516,31191,30909
5.25,5.316,36756,36689,36677,36629,36485,36348,36209,36085,35975,35861,35756,35660,35576,35498,35443,35399,35380,35373,35385,35376,35361,35320,35244,35112,34936,34689,34431,34147,33840,33459,33055,32715,32434
5.5,4.14,38749,38673,38654,38599,38436,38286,38131,37990,37867,37740,37625,37513,37417,37327,37270,37224,37208,37200,37212,37202,37186,37130,37034,36876,36667,36375,36078,35768,35443,35047,34625,34275,33999
5.75,3.224,40779,40693,40669,40605,40425,40263,40092,39935,39800,39658,39532,39405,39295,39192,39129,39081,39065,39058,39071,39062,39048,38980,38863,38676,38430,38091,37753,37417,37074,36665,36229,35873,35602
6,2.511,42844,42748,42716,42645,42448,42275,42089,41917,41771,41613,41474,41331,41206,41088,41017,40965,40949,40942,40958,40953,40944,40866,40731,40514,40228,39839,39460,39097,38736,38316,37869,37508,37244
6.25,1.956,44939,44832,44792,44711,44501,44315,44115,43931,43776,43602,43449,43289,43149,43015,42934,42876,42859,42851,42870,42872,42873,42788,42637,42392,42070,41631,41209,40817,40439,40008,39554,39189,38931
6.5,1.523,47049,46931,46880,46788,46566,46367,46154,45959,45798,45609,45442,45266,45112,44961,44868,44804,44786,44777,44798,44810,44821,44730,44566,44299,43946,43456,42991,42572,42177,41738,41278,40910,40655
6.75,1.186,49166,49036,48972,48866,48631,48418,48193,47990,47822,47620,47441,47252,47087,46920,46815,46744,46724,46714,46738,46758,46777,46681,46507,46222,45846,45308,44804,44359,43949,43504,43041,42670,42415
7,0.9237,51278,51135,51057,50935,50687,50460,50223,50010,49835,49624,49435,49236,49063,48884,48768,48691,48668,48657,48685,48710,48733,48632,48448,48148,47753,47177,46641,46176,45754,45307,44844,44469,44214
