Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-64,-122,-165,-179,-165,-122,-64,-10,25,28,21,8,-10,-23,-30,-32,-32,-30,-18,1,20,35,40,30,11,-11,-36,-34,-19,-5,18,35,46
0.25,788.93,1673,1709,1745,1781,1816,1883,1965,2046,2108,2136,2147,2147,2139,2129,2125,2123,2123,2125,2134,2144,2148,2138,2114,2075,2028,1979,1933,1907,1892,1880,1871,1863,1863
0.5,614.42,3626,3614,3628,3663,3721,3816,3927,4035,4121,4171,4198,4208,4207,4200,4196,4195,4196,4199,4207,4209,4198,4162,4106,4035,3958,3883,3815,3769,3737,3711,3688,3668,3657
0.75,478.51,5405,5397,5420,5471,5552,5675,5813,5947,6057,6126,6169,6190,6197,6193,6190,6189,6191,6194,6201,6194,6168,6105,6019,5916,5810,5709,5621,5559,5513,5474,5440,5409,5388
1,372.66,7106,7104,7136,7201,7302,7450,7614,7772,7904,7993,8052,8086,8103,8104,8102,8102,8104,8108,8111,8096,8053,7963,7844,7709,7574,7450,7344,7268,7209,7160,7116,7076,7045
1.25,290.23,8740,8743,8783,8858,8974,9140,9322,9498,9648,9755,9830,9878,9905,9910,9910,9910,9912,9916,9916,9892,9836,9720,9570,9405,9244,9103,8985,8899,8830,8773,8722,8674,8634
1.5,226.03,10384,10390,10431,10509,10627,10795,10979,11158,11317,11435,11522,11580,11613,11620,11621,11621,11623,11626,11625,11596,11531,11398,11228,11043,10865,10718,10595,10502,10427,10363,10304,10249,10200
1.75,176.03,12048,12058,12099,12172,12282,12438,12607,12775,12928,13044,13131,13190,13223,13228,13226,13224,13228,13234,13231,13201,13135,13001,12830,12642,12464,12317,12194,12098,12016,11942,11874,11812,11755
2,137.09,13719,13733,13773,13841,13938,14076,14222,14367,14501,14600,14673,14719,14742,14741,14733,14727,14735,14745,14741,14713,14654,14536,14384,14213,14051,13910,13792,13691,13601,13516,13436,13365,13299
2.25,106.77,15395,15412,15451,15513,15596,15713,15831,15946,16050,16120,16168,16193,16199,16186,16171,16160,16171,16185,16181,16159,16114,16022,15902,15764,15630,15503,15392,15288,15189,15089,14996,14912,14834
2.5,83.15,17075,17094,17133,17187,17256,17351,17441,17524,17597,17636,17657,17659,17647,17623,17600,17581,17595,17613,17609,17595,17564,17499,17413,17309,17205,17093,16990,16883,16777,16663,16555,16458,16365
2.75,64.76,18760,18780,18816,18865,18921,18992,19057,19111,19155,19166,19164,19147,19121,19086,19053,19025,19042,19063,19061,19053,19035,18991,18932,18856,18778,18681,18585,18476,18363,18236,18114,18002,17896
3,50.43,20447,20468,20502,20544,20589,20638,20682,20710,20728,20716,20696,20664,20625,20581,20539,20501,20519,20544,20544,20542,20533,20504,20465,20410,20353,20268,20178,20066,19947,19807,19671,19545,19424
3.25,39.28,22138,22159,22189,22223,22259,22291,22319,22326,22325,22294,22258,22214,22165,22113,22062,22014,22034,22063,22064,22063,22060,22041,22016,21976,21933,21856,21769,21653,21525,21372,21220,21081,20945
3.5,30.59,23832,23853,23876,23902,23930,23951,23966,23959,23943,23898,23849,23793,23734,23676,23619,23563,23583,23615,23615,23615,23614,23602,23586,23556,23522,23447,23361,23237,23101,22932,22765,22612,22464
3.75,23.82,25535,25552,25568,25587,25608,25620,25626,25609,25583,25528,25469,25403,25334,25271,25209,25148,25167,25199,25199,25200,25198,25189,25176,25149,25118,25043,24955,24826,24681,24498,24318,24152,23989
4,18.55,27243,27256,27269,27285,27300,27305,27303,27277,27243,27179,27112,27036,26957,26890,26824,26759,26778,26810,26811,26812,26810,26802,26789,26761,26725,26647,26555,26419,26267,26074,25883,25705,25527
4.25,14.45,28969,28977,28992,29010,29019,29018,29007,28972,28928,28858,28783,28696,28607,28535,28465,28396,28415,28448,28452,28453,28451,28445,28431,28396,28350,28264,28165,28023,27865,27669,27471,27284,27091
4.5,11.25,30722,30727,30744,30763,30768,30761,30741,30696,30640,30562,30479,30383,30285,30208,30133,30059,30077,30112,30120,30122,30119,30114,30098,30053,29991,29893,29784,29639,29478,29284,29085,28892,28685
4.75,8.764,32512,32516,32531,32548,32549,32536,32508,32451,32382,32296,32206,32102,31998,31914,31835,31757,31774,31809,31820,31823,31821,31815,31792,31735,31653,31539,31417,31269,31110,30921,30724,30528,30309
5,6.826,34338,34340,34353,34367,34363,34345,34309,34241,34159,34065,33968,33859,33751,33660,33576,33495,33512,33547,33560,33565,33563,33552,33520,33448,33345,33210,33072,32920,32763,32579,32385,32187,31958
5.25,5.316,36207,36206,36216,36225,36217,36193,36150,36071,35978,35877,35773,35659,35548,35451,35363,35281,35299,35336,35348,35354,35352,35333,35288,35201,35077,34917,34760,34600,34444,34263,34070,33870,33630
5.5,4.14,38112,38107,38113,38117,38104,38075,38024,37938,37836,37725,37613,37493,37380,37279,37190,37109,37129,37166,37178,37184,37181,37153,37094,36991,36845,36657,36477,36308,36149,35966,35773,35570,35320
5.75,3.224,40052,40043,40043,40042,40023,39989,39932,39839,39732,39608,39487,39361,39245,39143,39055,38976,38998,39037,39049,39053,39048,39011,38937,38818,38650,38432,38228,38044,37878,37690,37492,37284,37024
6,2.511,42026,42011,42006,41999,41974,41935,41871,41773,41661,41525,41394,41262,41143,41041,40955,40880,40904,40945,40957,40961,40953,40907,40818,40682,40490,40241,40011,39809,39633,39435,39228,39013,38741
6.25,1.956,44034,44013,44002,43989,43958,43912,43842,43737,43621,43473,43333,43198,43078,42975,42890,42819,42847,42891,42904,42907,42898,42842,42738,42585,42371,42089,41832,41608,41416,41203,40984,40759,40474
6.5,1.523,46062,46035,46017,45998,45961,45908,45830,45719,45597,45439,45291,45154,45036,44932,44848,44781,44814,44861,44875,44878,44867,44801,44683,44513,44277,43966,43680,43432,43222,42992,42757,42522,42223
6.75,1.186,48104,48067,48043,48015,47971,47911,47826,47707,47577,47412,47258,47121,47007,46903,46821,46760,46797,46847,46862,46863,46850,46772,46640,46454,46200,45860,45549,45278,45047,44801,44550,44306,43994
7,0.9237,50146,50101,50068,50030,49977,49911,49819,49691,49552,49381,49224,49087,48976,48878,48801,48746,48786,48839,48853,48852,48833,48744,48597,48395,48125,47760,47428,47136,46888,46628,46365,46113,45791
