Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-163,-163,-163,-163,-144,-108,-64,-22,10,22,21,10,-6,-20,-28,-30,-30,-29,-18,0,20,36,41,31,8,-18,-45,-38,-21,-6,14,20,11
0.25,788.93,1801,1801,1801,1801,1834,1892,1960,2029,2089,2125,2144,2146,2141,2131,2125,2123,2124,2126,2134,2143,2149,2141,2118,2078,2027,1974,1926,1902,1888,1874,1864,1849,1832
0.5,614.42,3660,3659,3668,3693,3742,3822,3916,4012,4097,4155,4192,4206,4208,4200,4195,4194,4195,4198,4206,4207,4198,4164,4111,4041,3960,3880,3810,3765,3732,3701,3678,3651,3625
0.75,478.51,5444,5452,5472,5510,5576,5678,5797,5917,6026,6105,6159,6186,6196,6191,6188,6187,6189,6193,6199,6192,6169,6109,6026,5925,5815,5711,5620,5556,5506,5462,5426,5390,5356
1,372.66,7152,7167,7197,7246,7326,7449,7591,7735,7867,7967,8038,8080,8101,8100,8099,8098,8101,8105,8108,8093,8054,7966,7853,7721,7583,7456,7347,7267,7202,7146,7099,7055,7015
1.25,290.23,8797,8812,8846,8903,8993,9132,9292,9454,9604,9723,9811,9868,9900,9904,9904,9905,9908,9912,9911,9887,9833,9722,9580,9419,9257,9114,8992,8899,8822,8758,8703,8653,8609
1.5,226.03,10450,10461,10493,10550,10640,10782,10945,11111,11268,11398,11498,11566,11605,11612,11613,11615,11618,11621,11617,11586,11524,11398,11237,11056,10881,10730,10603,10501,10416,10344,10282,10228,10181
1.75,176.03,12131,12137,12164,12213,12294,12424,12574,12729,12877,13004,13104,13174,13214,13220,13219,13220,13224,13228,13221,13188,13124,12998,12835,12653,12476,12326,12199,12091,11998,11917,11845,11784,11733
2,137.09,13825,13829,13849,13888,13955,14065,14192,14324,14451,14559,14645,14703,14734,14736,14730,14728,14733,14738,14730,14700,14643,14532,14386,14221,14058,13914,13789,13677,13575,13481,13396,13325,13269
2.25,106.77,15528,15533,15545,15571,15623,15708,15807,15907,16002,16080,16140,16177,16192,16184,16172,16164,16170,16176,16170,16148,16104,16019,15904,15768,15632,15500,15381,15264,15153,15045,14944,14861,14796
2.5,83.15,17237,17244,17247,17261,17296,17355,17423,17490,17551,17596,17629,17643,17642,17624,17605,17591,17596,17604,17600,17585,17557,17496,17414,17310,17202,17084,16971,16850,16730,16608,16492,16395,16318
2.75,64.76,18951,18959,18954,18956,18975,19008,19046,19080,19109,19127,19135,19132,19117,19090,19065,19044,19048,19056,19054,19045,19030,18988,18931,18854,18771,18666,18558,18434,18304,18169,18038,17927,17833
3,50.43,20670,20676,20665,20655,20660,20668,20677,20683,20684,20678,20667,20649,20623,20590,20557,20529,20532,20540,20539,20536,20529,20501,20462,20405,20342,20247,20143,20014,19874,19724,19579,19452,19339
3.25,39.28,22392,22391,22376,22358,22349,22335,22322,22303,22283,22258,22230,22198,22164,22125,22087,22051,22053,22063,22063,22061,22059,22041,22015,21972,21923,21830,21726,21587,21435,21265,21100,20956,20821
3.5,30.59,24116,24103,24087,24065,24042,24012,23980,23944,23905,23864,23822,23777,23732,23689,23646,23604,23606,23618,23618,23618,23618,23607,23590,23555,23514,23420,23310,23157,22989,22794,22607,22442,22286
3.75,23.82,25842,25810,25800,25780,25746,25701,25656,25605,25552,25498,25442,25386,25329,25282,25235,25187,25190,25202,25204,25206,25207,25201,25188,25156,25117,25019,24902,24734,24548,24329,24118,23931,23753
4,18.55,27577,27524,27526,27514,27469,27412,27354,27290,27223,27155,27087,27018,26950,26898,26846,26794,26797,26810,26815,26818,26819,26817,26807,26775,26734,26632,26507,26323,26118,25875,25639,25428,25227
4.25,14.45,29339,29265,29282,29281,29225,29156,29086,29006,28922,28841,28759,28675,28596,28538,28482,28425,28427,28442,28451,28456,28457,28459,28451,28418,28373,28266,28133,27934,27712,27447,27185,26949,26726
4.5,11.25,31139,31052,31077,31082,31015,30935,30851,30754,30651,30553,30455,30358,30267,30203,30142,30081,30082,30099,30113,30119,30120,30124,30117,30082,30031,29921,29778,29569,29332,29050,28763,28504,28260
4.75,8.764,32988,32895,32919,32918,32842,32750,32652,32537,32413,32298,32184,32072,31971,31900,31835,31768,31769,31787,31805,31811,31811,31814,31806,31767,31710,31594,31444,31226,30981,30685,30378,30098,29837
5,6.826,34880,34783,34802,34793,34706,34601,34488,34356,34213,34080,33950,33825,33714,33633,33563,33494,33495,33513,33531,33537,33535,33534,33519,33474,33411,33289,33130,32905,32656,32351,32028,31732,31459
5.25,5.316,36821,36719,36730,36713,36614,36495,36366,36218,36057,35907,35761,35622,35500,35409,35333,35264,35265,35283,35300,35305,35300,35291,35266,35214,35143,35011,34843,34612,34361,34052,33718,33413,33132
5.5,4.14,38802,38694,38698,38669,38560,38425,38281,38117,37938,37772,37608,37454,37320,37219,37139,37070,37071,37089,37103,37108,37102,37085,37048,36985,36903,36760,36581,36345,36094,35783,35442,35130,34845
5.75,3.224,40822,40706,40701,40662,40540,40389,40230,40050,39855,39672,39491,39320,39171,39061,38977,38908,38911,38928,38941,38946,38940,38917,38868,38792,38695,38538,38347,38105,37854,37543,37197,36880,36592
6,2.511,42876,42752,42736,42686,42551,42385,42211,42016,41806,41605,41407,41219,41055,40936,40845,40777,40780,40798,40811,40819,40814,40787,40728,40635,40520,40345,40141,39891,39642,39330,38979,38659,38369
6.25,1.956,44962,44829,44802,44738,44592,44409,44219,44010,43787,43570,43357,43154,42978,42845,42747,42676,42681,42699,42715,42727,42726,42696,42628,42518,42385,42187,41965,41706,41455,41142,40787,40464,40172
6.5,1.523,47067,46922,46884,46806,46646,46447,46241,46019,45783,45553,45326,45112,44926,44780,44671,44597,44602,44622,44641,44659,44662,44629,44553,44428,44277,44054,43811,43541,43285,42969,42610,42285,41988
6.75,1.186,49180,49023,48970,48876,48702,48488,48268,48033,47785,47543,47305,47082,46889,46731,46613,46537,46542,46563,46586,46608,46615,46578,46493,46353,46188,45937,45673,45390,45128,44808,44446,44119,43814
7,0.9237,51289,51119,51051,50940,50750,50522,50288,50040,49779,49527,49281,49052,48855,48691,48570,48490,48495,48517,48544,48568,48575,48531,48436,48281,48104,47825,47543,47248,46981,46659,46294,45964,45650
