Scale Height,Pressure,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,101300,-78,-78,-78,-78,-90,-82,-54,-16,21,44,57,55,40,15,-3,-13,-18,-23,-26,-19,-3,20,39,43,46,35,25,6,-11,-18,-14,-9,-5
0.25,78893,1826,1826,1826,1826,1847,1884,1938,1999,2056,2102,2136,2154,2157,2147,2139,2133,2131,2130,2131,2139,2154,2172,2183,2174,2159,2125,2093,2063,2038,2021,2009,1997,1985
0.5,61442,3452,3467,3549,3644,3697,3766,3847,3931,4008,4079,4135,4175,4198,4202,4201,4198,4198,4199,4203,4213,4230,4245,4250,4232,4203,4151,4102,4058,4022,3994,3970,3947,3925
0.75,47851,5176,5194,5280,5388,5469,5566,5671,5778,5878,5972,6054,6119,6165,6182,6189,6188,6189,6190,6194,6205,6221,6235,6235,6208,6164,6095,6030,5972,5925,5887,5852,5820,5791
1,37266,6821,6845,6932,7049,7155,7277,7404,7532,7655,7775,7885,7979,8048,8080,8094,8096,8097,8099,8103,8115,8129,8140,8135,8098,8037,7951,7869,7798,7739,7691,7646,7605,7570
1.25,29023,8383,8411,8497,8619,8747,8892,9040,9189,9335,9479,9616,9736,9827,9871,9892,9896,9899,9902,9908,9920,9934,9942,9932,9885,9807,9703,9604,9522,9453,9397,9345,9300,9263
1.5,22603,9893,9927,10012,10140,10291,10460,10630,10797,10962,11122,11277,11413,11516,11567,11592,11598,11602,11607,11614,11629,11644,11651,11638,11585,11496,11381,11272,11185,11116,11061,11012,10970,10938
1.75,17603,11358,11402,11496,11642,11820,12011,12201,12381,12557,12720,12878,13014,13119,13170,13195,13202,13206,13211,13220,13236,13254,13263,13252,13202,13115,13003,12897,12817,12757,12712,12673,12642,12619
2,13709,12791,12849,12959,13135,13346,13562,13772,13960,14139,14291,14434,14556,14649,14692,14714,14722,14724,14726,14739,14758,14779,14795,14792,14755,14685,14592,14505,14439,14394,14362,14336,14316,14302
2.25,10677,14200,14275,14406,14618,14867,15112,15344,15537,15715,15845,15964,16059,16130,16160,16177,16185,16184,16184,16200,16222,16248,16275,16285,16268,16227,16166,16107,16063,16034,16016,16002,15992,15988
2.5,8315,15592,15687,15842,16092,16381,16656,16910,17110,17288,17396,17491,17560,17609,17627,17638,17645,17640,17637,17657,17684,17715,17751,17774,17779,17768,17739,17710,17689,17679,17674,17673,17672,17676
2.75,6476,16970,17088,17270,17560,17887,18190,18469,18678,18858,18951,19029,19079,19113,19122,19129,19133,19124,19117,19142,19173,19208,19252,19287,19310,19322,19321,19319,19320,19327,19337,19347,19357,19369
3,5043,18335,18480,18690,19020,19385,19718,20022,20244,20431,20515,20584,20623,20648,20651,20653,20655,20640,20630,20660,20695,20733,20783,20827,20863,20894,20915,20935,20956,20980,21003,21025,21045,21064
3.25,3928,19689,19864,20101,20469,20875,21242,21576,21813,22013,22093,22158,22192,22212,22211,22209,22208,22187,22174,22210,22248,22288,22343,22393,22440,22485,22522,22559,22597,22636,22671,22704,22733,22761
3.5,3059,21035,21246,21506,21908,22358,22764,23133,23390,23607,23686,23752,23783,23802,23796,23790,23784,23760,23745,23785,23826,23868,23927,23983,24038,24094,24144,24194,24245,24296,24342,24385,24423,24460
3.75,2382,22373,22619,22901,23333,23825,24276,24686,24969,25210,25294,25365,25397,25416,25405,25395,25385,25359,25344,25389,25434,25478,25542,25604,25665,25729,25787,25847,25908,25969,26024,26077,26124,26170
4,1855,23689,23972,24278,24741,25275,25776,26230,26547,26817,26915,26995,27030,27049,27036,27022,27009,26982,26967,27016,27064,27112,27181,27249,27317,27386,27453,27520,27589,27660,27723,27785,27839,27894
4.25,1445,24996,25315,25649,26146,26720,27268,27766,28123,28427,28547,28642,28682,28702,28688,28673,28656,28628,28614,28666,28717,28768,28843,28918,28992,29068,29145,29221,29299,29378,29450,29521,29582,29644
4.5,1125,26330,26677,27040,27570,28178,28765,29303,29698,30039,30187,30301,30349,30373,30361,30347,30327,30297,30283,30338,30390,30444,30525,30607,30688,30773,30863,30951,31039,31126,31207,31288,31354,31420
4.75,876.4,27717,28086,28473,29031,29665,30278,30846,31278,31657,31835,31971,32033,32065,32058,32047,32026,31994,31980,32036,32088,32145,32230,32319,32409,32505,32610,32713,32812,32908,33000,33088,33159,33228
5,682.6,29173,29557,29964,30541,31189,31817,32407,32871,33287,33495,33656,33737,33781,33782,33776,33756,33724,33708,33763,33816,33875,33964,34060,34159,34268,34387,34506,34619,34727,34830,34927,35003,35075
5.25,531.6,30707,31104,31526,32113,32765,33397,33999,34489,34938,35177,35365,35469,35530,35540,35539,35524,35491,35473,35524,35576,35640,35733,35837,35947,36067,36203,36338,36467,36590,36706,36813,36894,36969
5.5,414,32305,32713,33146,33740,34390,35019,35627,36136,36617,36887,37103,37231,37309,37328,37333,37323,37290,37269,37314,37365,37432,37531,37644,37767,37901,38054,38206,38352,38490,38621,38739,38825,38906
5.75,322.4,33960,34379,34822,35420,36066,36688,37297,37821,38330,38632,38878,39029,39121,39148,39157,39150,39116,39092,39132,39181,39251,39358,39484,39620,39770,39939,40109,40273,40427,40572,40702,40796,40881
6,251.1,35667,36098,36550,37151,37793,38406,39013,39549,40084,40417,40692,40864,40968,40999,41010,41005,40969,40942,40978,41027,41100,41218,41356,41507,41672,41858,42044,42226,42397,42558,42700,42802,42893
6.25,195.6,37423,37867,38328,38934,39572,40176,40782,41330,41891,42251,42552,42741,42854,42887,42896,42889,42851,42821,42855,42908,42988,43114,43264,43428,43609,43809,44010,44211,44400,44575,44731,44843,44941
6.5,152.3,39212,39671,40142,40751,41388,41986,42592,43153,43739,44122,44445,44648,44769,44800,44806,44795,44754,44722,44756,44816,44906,45037,45195,45372,45567,45780,45995,46212,46419,46609,46779,46903,47011
