Scale Height,Pressure,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,101300,-74,-74,-74,-74,-82,-72,-47,-13,22,46,55,49,33,12,-5,-15,-19,-22,-22,-14,2,22,37,36,33,19,7,-5,-13,-15,-11,-9,-11
0.25,78893,1834,1834,1834,1834,1857,1898,1948,2006,2063,2108,2138,2153,2156,2148,2141,2136,2135,2135,2138,2146,2158,2168,2168,2150,2126,2090,2057,2033,2015,1998,1985,1970,1955
0.5,61442,3448,3471,3561,3658,3713,3784,3863,3943,4021,4087,4140,4177,4201,4206,4206,4205,4206,4208,4214,4223,4234,4238,4226,4192,4151,4096,4045,4006,3974,3946,3920,3893,3869
0.75,47851,5175,5206,5300,5409,5491,5591,5694,5796,5894,5983,6061,6124,6169,6188,6196,6197,6199,6202,6208,6217,6225,6223,6199,6151,6093,6020,5952,5897,5852,5814,5777,5740,5709
1,37266,6822,6861,6957,7076,7184,7309,7435,7558,7676,7788,7893,7984,8053,8086,8103,8108,8110,8114,8119,8127,8132,8122,8086,8021,7943,7853,7768,7699,7642,7594,7547,7503,7464
1.25,29023,8388,8435,8533,8658,8789,8936,9082,9222,9359,9494,9625,9741,9832,9879,9904,9912,9916,9921,9926,9933,9934,9916,9868,9786,9687,9581,9482,9401,9336,9283,9232,9185,9145
1.5,22603,9918,9974,10072,10203,10352,10518,10679,10832,10981,11132,11281,11416,11522,11577,11607,11618,11625,11631,11636,11642,11641,11617,11559,11465,11352,11238,11135,11052,10989,10940,10894,10853,10820
1.75,17603,11426,11496,11602,11743,11908,12086,12257,12415,12570,12723,12876,13015,13123,13179,13210,13223,13229,13236,13242,13248,13247,13223,13164,13070,12958,12848,12753,12680,12627,12590,12556,12527,12504
2,13709,12913,13003,13125,13285,13467,13657,13837,13996,14149,14289,14430,14554,14650,14697,14723,14736,14741,14746,14754,14763,14766,14750,14703,14624,14530,14438,14360,14304,14265,14240,14218,14200,14188
2.25,10677,14379,14491,14634,14817,15022,15228,15421,15579,15726,15843,15957,16054,16127,16158,16176,16186,16189,16191,16203,16216,16227,16226,16200,16149,16085,16021,15968,15931,15907,15894,15883,15875,15872
2.5,8315,15828,15964,16131,16340,16570,16795,17001,17159,17300,17394,17482,17550,17600,17617,17626,17634,17632,17632,17647,17666,17685,17699,17694,17672,17640,17606,17578,17560,17551,17551,17551,17553,17559
2.75,6476,17261,17424,17617,17853,18108,18353,18574,18735,18872,18949,19017,19065,19099,19106,19109,19113,19107,19104,19123,19146,19171,19197,19210,19211,19205,19197,19192,19193,19199,19212,19224,19236,19250
3,5043,18681,18873,19092,19356,19636,19902,20141,20308,20445,20511,20567,20602,20627,20629,20628,20629,20618,20611,20634,20662,20691,20724,20750,20768,20783,20796,20810,20829,20851,20876,20901,20923,20944
3.25,3928,20087,20310,20556,20849,21157,21446,21706,21883,22027,22087,22139,22167,22188,22185,22182,22180,22164,22154,22182,22213,22244,22282,22317,22347,22376,22404,22435,22468,22504,22541,22577,22609,22640
3.5,3059,21481,21736,22008,22330,22669,22985,23270,23460,23618,23678,23730,23756,23775,23769,23763,23757,23738,23727,23760,23793,23826,23867,23908,23947,23986,24025,24067,24113,24160,24208,24255,24296,24336
3.75,2382,22854,23138,23435,23788,24161,24510,24824,25037,25215,25283,25341,25370,25389,25380,25372,25362,25343,25333,25370,25407,25443,25487,25530,25574,25618,25665,25714,25770,25829,25885,25942,25992,26042
4,1855,24199,24510,24834,25221,25631,26017,26366,26606,26811,26895,26967,27002,27024,27014,27004,26992,26974,26966,27005,27046,27087,27133,27179,27227,27275,27326,27381,27444,27513,27578,27643,27702,27761
4.25,1445,25521,25859,26213,26637,27084,27508,27893,28166,28403,28514,28606,28651,28678,28672,28663,28650,28631,28623,28665,28710,28756,28805,28855,28907,28960,29015,29075,29147,29226,29299,29373,29439,29506
4.5,1125,26848,27212,27595,28054,28535,28991,29410,29720,29993,30138,30256,30316,30350,30351,30348,30334,30314,30305,30349,30397,30449,30499,30553,30611,30671,30732,30799,30880,30971,31054,31135,31207,31280
4.75,876.4,28209,28595,29004,29491,29996,30476,30924,31269,31585,31769,31918,31999,32045,32059,32064,32051,32029,32019,32062,32112,32167,32220,32279,32343,32411,32480,32555,32648,32750,32845,32934,33011,33088
5,682.6,29624,30029,30457,30961,31476,31970,32439,32821,33184,33408,33594,33703,33769,33799,33814,33804,33781,33769,33809,33858,33915,33972,34038,34109,34186,34264,34349,34455,34569,34678,34774,34854,34936
5.25,531.6,31107,31528,31968,32476,32989,33485,33970,34386,34799,35067,35294,35439,35530,35577,35602,35597,35573,35559,35595,35640,35698,35761,35836,35915,36002,36092,36190,36310,36435,36562,36664,36749,36836
5.5,414,32646,33080,33528,34035,34538,35031,35526,35974,36437,36752,37024,37206,37325,37386,37420,37420,37395,37378,37410,37453,37513,37583,37668,37757,37854,37958,38072,38207,38344,38487,38598,38688,38780
