Scale Height,Pressure,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,101300,-172,-172,-172,-172,-138,-95,-47,-1,30,39,33,18,-1,-17,-26,-30,-31,-29,-17,1,20,36,44,36,23,6,-13,-16,-11,-8,21,36,31
0.25,78893,1775,1775,1775,1775,1830,1900,1975,2048,2106,2139,2153,2153,2146,2136,2130,2127,2127,2129,2138,2148,2153,2146,2126,2090,2050,2009,1969,1939,1915,1892,1885,1871,1854
0.5,61442,3520,3530,3574,3645,3726,3825,3930,4029,4111,4164,4195,4209,4212,4205,4201,4200,4201,4204,4213,4216,4208,4176,4127,4063,3995,3928,3866,3817,3775,3733,3708,3679,3650
0.75,47851,5279,5296,5352,5440,5546,5674,5807,5931,6036,6109,6158,6187,6200,6198,6195,6195,6197,6200,6207,6202,6180,6123,6047,5955,5859,5769,5686,5619,5561,5505,5463,5420,5382
1,37266,6963,6988,7054,7156,7284,7439,7598,7746,7873,7966,8034,8079,8104,8108,8108,8109,8111,8114,8117,8102,8064,7982,7876,7757,7634,7522,7421,7339,7266,7198,7141,7089,7042
1.25,29023,8589,8617,8688,8798,8941,9115,9294,9461,9605,9717,9804,9865,9903,9912,9915,9919,9921,9923,9922,9898,9845,9737,9604,9457,9312,9182,9069,8976,8895,8818,8752,8692,8639
1.5,22603,10219,10249,10319,10429,10574,10753,10937,11109,11262,11387,11486,11559,11606,11620,11625,11631,11633,11636,11631,11601,11538,11413,11259,11094,10934,10798,10681,10585,10500,10419,10344,10278,10220
1.75,17603,11864,11899,11969,12073,12210,12377,12551,12715,12864,12987,13088,13163,13211,13226,13231,13235,13239,13242,13236,13205,13140,13013,12856,12687,12527,12394,12281,12187,12102,12019,11940,11869,11807
2,13709,13510,13553,13625,13725,13851,14000,14155,14300,14435,14541,14628,14691,14730,14738,14738,14737,14743,14749,14743,14716,14659,14547,14406,14253,14107,13985,13879,13788,13705,13619,13538,13464,13397
2.25,10677,15154,15205,15281,15377,15493,15623,15756,15877,15988,16064,16126,16167,16187,16184,16176,16167,16175,16184,16181,16162,16120,16034,15924,15802,15682,15575,15479,15392,15309,15221,15136,15057,14983
2.5,8315,16796,16856,16934,17027,17132,17245,17357,17454,17539,17586,17619,17636,17637,17622,17605,17589,17597,17610,17609,17598,17572,17513,17435,17345,17254,17163,17079,16996,16913,16821,16732,16647,16565
2.75,6476,18435,18503,18583,18672,18769,18866,18960,19036,19099,19120,19130,19127,19112,19086,19061,19037,19047,19062,19063,19058,19044,19006,18954,18892,18826,18751,18677,18597,18516,18420,18326,18233,18144
3,5043,20071,20146,20228,20313,20403,20489,20569,20627,20673,20673,20665,20646,20618,20583,20551,20521,20532,20549,20550,20549,20543,20520,20488,20446,20399,20338,20273,20197,20117,20019,19919,19820,19724
3.25,3928,21702,21784,21867,21951,22037,22115,22185,22231,22265,22250,22229,22199,22162,22122,22084,22047,22057,22073,22074,22074,22073,22059,22040,22011,21979,21926,21868,21795,21716,21617,21515,21414,21314
3.5,3059,23331,23415,23501,23587,23673,23746,23810,23848,23876,23850,23820,23781,23738,23695,23653,23610,23616,23630,23631,23632,23632,23624,23612,23591,23566,23518,23464,23392,23315,23216,23116,23016,22916
3.75,2382,24957,25040,25127,25220,25309,25380,25443,25478,25503,25472,25437,25393,25346,25301,25256,25210,25211,25222,25222,25224,25224,25218,25207,25186,25161,25114,25060,24990,24914,24816,24717,24619,24521
4,1855,26578,26659,26751,26855,26947,27020,27084,27119,27144,27111,27074,27028,26978,26931,26884,26837,26834,26841,26843,26845,26844,26838,26825,26799,26768,26716,26659,26588,26511,26415,26321,26225,26131
4.25,1445,28204,28283,28385,28501,28597,28674,28740,28777,28804,28771,28734,28687,28637,28586,28537,28488,28484,28489,28492,28495,28493,28488,28471,28436,28392,28330,28265,28190,28112,28019,27930,27841,27752
4.5,1125,29844,29926,30037,30164,30264,30345,30415,30455,30485,30454,30417,30370,30320,30267,30215,30164,30158,30163,30167,30171,30170,30164,30142,30095,30035,29959,29882,29802,29722,29633,29550,29466,29385
4.75,876.4,31506,31594,31713,31849,31954,32041,32115,32159,32192,32163,32128,32082,32034,31978,31925,31872,31866,31871,31875,31880,31880,31870,31842,31783,31704,31612,31521,31432,31349,31262,31183,31105,31031
5,682.6,33189,33283,33411,33556,33671,33766,33845,33893,33929,33904,33871,33828,33782,33727,33674,33621,33615,33621,33626,33629,33628,33613,33576,33505,33409,33300,33191,33092,33001,32914,32837,32762,32694
5.25,531.6,34898,34999,35136,35292,35420,35526,35613,35666,35704,35683,35655,35615,35573,35520,35470,35418,35415,35422,35427,35428,35421,35400,35352,35272,35160,35035,34906,34792,34688,34598,34517,34442,34378
5.5,414,36634,36742,36887,37056,37198,37319,37416,37475,37517,37498,37474,37438,37401,37352,37307,37258,37257,37266,37271,37267,37254,37224,37165,37077,36952,36809,36660,36529,36410,36312,36223,36144,36081
5.75,322.4,38402,38516,38669,38850,39006,39144,39255,39321,39367,39348,39326,39297,39266,39224,39186,39140,39141,39151,39154,39145,39126,39085,39014,38920,38784,38625,38456,38306,38169,38057,37955,37867,37801
6,251.1,40204,40323,40483,40677,40848,41003,41128,41202,41253,41232,41211,41189,41168,41134,41102,41061,41065,41076,41076,41062,41036,40984,40901,40800,40653,40480,40292,40122,39965,39835,39715,39613,39540
6.25,195.6,42045,42170,42338,42545,42730,42902,43040,43120,43174,43150,43130,43117,43106,43080,43056,43020,43026,43038,43035,43016,42985,42921,42826,42720,42563,42378,42173,41983,41806,41656,41515,41397,41313
6.5,152.3,43919,44050,44227,44445,44644,44829,44977,45062,45119,45092,45073,45067,45065,45047,45031,45001,45010,45022,45016,44993,44956,44882,44777,44664,44498,44302,44083,43877,43682,43512,43352,43217,43123
6.75,118.6,45820,45957,46141,46369,46579,46775,46931,47019,47078,47049,47031,47031,47037,47026,47017,46994,47005,47017,47008,46981,46938,46854,46740,46621,46449,46243,46012,45793,45584,45398,45222,45073,44970
7,92.37,47742,47882,48071,48307,48524,48728,48891,48982,49043,49012,48995,48997,49008,49005,49003,48988,49001,49013,49000,48967,48918,48825,48702,48579,48403,48188,47948,47720,47502,47305,47117,46957,46849
