Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-123,-123,-123,-123,-130,-108,-68,-20,20,36,37,30,17,-1,-15,-23,-26,-28,-24,-12,5,28,44,46,44,29,15,7,8,15,25,30,30
0.25,788.93,1808,1808,1808,1808,1825,1871,1937,2009,2073,2110,2134,2146,2149,2143,2137,2133,2132,2131,2136,2145,2154,2160,2157,2138,2113,2077,2042,2016,1998,1984,1969,1954,1942
0.5,614.42,3501,3522,3581,3648,3694,3770,3862,3958,4044,4104,4150,4182,4202,4206,4206,4205,4205,4207,4213,4220,4222,4215,4195,4157,4113,4055,3998,3953,3917,3887,3857,3828,3806
0.75,478.51,5229,5261,5332,5415,5488,5591,5708,5826,5934,6017,6085,6138,6177,6192,6199,6200,6202,6204,6208,6211,6207,6186,6149,6093,6028,5951,5874,5809,5757,5712,5669,5630,5599
1,372.66,6880,6921,7001,7100,7198,7327,7466,7605,7733,7838,7929,8007,8065,8095,8110,8115,8117,8119,8121,8118,8104,8068,8013,7938,7851,7755,7661,7578,7510,7453,7400,7353,7315
1.25,290.23,8457,8506,8592,8703,8823,8972,9129,9283,9427,9553,9668,9769,9848,9892,9916,9925,9928,9931,9930,9920,9896,9843,9770,9674,9567,9457,9349,9255,9177,9112,9055,9007,8968
1.5,226.03,10010,10068,10159,10276,10412,10573,10739,10901,11054,11194,11327,11446,11540,11593,11624,11637,11642,11645,11642,11627,11594,11528,11439,11328,11208,11093,10984,10890,10813,10752,10698,10654,10620
1.75,176.03,11558,11630,11729,11854,11997,12159,12326,12485,12637,12780,12917,13041,13140,13196,13228,13242,13249,13253,13249,13231,13195,13124,13030,12916,12796,12689,12591,12510,12444,12393,12349,12312,12286
2,137.09,13097,13188,13301,13435,13586,13747,13910,14062,14206,14336,14462,14573,14662,14708,14735,14748,14756,14762,14758,14743,14712,14650,14569,14468,14364,14272,14192,14127,14075,14037,14002,13974,13956
2.25,106.77,14621,14733,14861,15010,15172,15335,15497,15638,15770,15878,15979,16064,16130,16160,16176,16183,16192,16200,16200,16192,16173,16133,16076,16003,15925,15856,15795,15746,15708,15682,15657,15638,15628
2.5,83.15,16132,16264,16410,16574,16751,16920,17082,17215,17334,17418,17493,17551,17593,17606,17611,17613,17622,17631,17635,17635,17631,17612,17581,17537,17487,17440,17399,17367,17343,17329,17315,17305,17303
2.75,64.76,17627,17782,17946,18127,18320,18498,18663,18790,18899,18964,19019,19057,19081,19081,19078,19075,19083,19094,19101,19108,19113,19111,19101,19080,19054,19028,19005,18990,18980,18978,18976,18976,18982
3,50.43,19106,19284,19469,19669,19881,20070,20242,20366,20470,20521,20563,20586,20599,20591,20582,20574,20582,20593,20604,20615,20628,20637,20641,20637,20629,20620,20613,20614,20617,20629,20640,20650,20663
3.25,39.28,20563,20768,20978,21202,21436,21638,21821,21947,22052,22095,22130,22146,22153,22140,22127,22115,22120,22131,22146,22161,22178,22193,22205,22211,22214,22218,22223,22237,22253,22277,22299,22320,22342
3.5,30.59,21999,22232,22472,22725,22984,23203,23400,23534,23645,23687,23720,23732,23736,23720,23704,23688,23691,23701,23720,23739,23759,23777,23792,23802,23811,23824,23838,23862,23888,23923,23956,23988,24018
3.75,23.82,23409,23666,23938,24226,24513,24756,24974,25124,25248,25295,25333,25346,25350,25333,25315,25297,25297,25305,25328,25352,25376,25393,25408,25418,25427,25444,25465,25495,25529,25572,25615,25656,25695
4,18.55,24792,25074,25382,25709,26024,26297,26542,26713,26856,26914,26962,26980,26988,26972,26953,26934,26931,26937,26962,26991,27019,27036,27051,27058,27064,27084,27106,27141,27180,27230,27280,27329,27374
4.25,14.45,26169,26474,26816,27181,27523,27828,28104,28300,28466,28543,28606,28633,28647,28635,28619,28599,28593,28596,28622,28655,28689,28707,28721,28725,28726,28746,28770,28808,28852,28907,28965,29020,29071
4.5,11.25,27573,27894,28260,28653,29018,29355,29662,29888,30082,30181,30263,30304,30327,30323,30311,30292,30283,30282,30307,30343,30384,30401,30417,30416,30413,30433,30457,30500,30548,30611,30676,30736,30790
4.75,8.764,29023,29351,29728,30136,30517,30882,31220,31480,31707,31834,31939,31997,32032,32040,32037,32019,32008,32005,32027,32064,32107,32125,32141,32138,32131,32152,32177,32224,32278,32348,32418,32480,32534
5,6.826,30512,30842,31222,31636,32028,32417,32785,33082,33349,33505,33636,33716,33768,33791,33798,33786,33774,33769,33789,33822,33866,33883,33900,33897,33890,33912,33939,33991,34048,34123,34195,34256,34310
5.25,5.316,32042,32373,32751,33165,33563,33970,34368,34704,35014,35203,35363,35470,35544,35583,35601,35595,35585,35580,35597,35624,35665,35682,35701,35703,35701,35725,35754,35810,35868,35947,36018,36078,36130
5.5,4.14,33609,33939,34313,34724,35127,35549,35974,36350,36705,36929,37121,37256,37353,37409,37438,37438,37430,37424,37439,37461,37498,37515,37539,37548,37555,37583,37615,37673,37731,37816,37887,37944,37996
5.75,3.224,35212,35542,35911,36319,36725,37161,37613,38026,38425,38687,38913,39077,39196,39267,39306,39310,39303,39298,39312,39330,39364,39383,39413,39432,39452,39484,39518,39579,39637,39728,39801,39857,39909
6,2.511,36852,37183,37548,37952,38362,38811,39289,39738,40181,40482,40742,40933,41073,41155,41201,41209,41203,41199,41212,41228,41262,41284,41322,41354,41387,41424,41462,41525,41583,41682,41758,41815,41868
6.25,1.956,38536,38870,39233,39634,40047,40508,41011,41497,41983,42320,42611,42828,42987,43076,43125,43134,43130,43126,43140,43156,43192,43221,43268,43313,43360,43403,43446,43513,43572,43676,43755,43814,43870
6.5,1.523,40259,40597,40959,41358,41771,42243,42770,43293,43823,44190,44509,44748,44923,45016,45066,45077,45073,45071,45087,45104,45144,45180,45238,45295,45354,45404,45452,45523,45585,45694,45775,45837,45897
6.75,1.186,42023,42366,42728,43123,43533,44014,44562,45118,45690,46082,46425,46683,46871,46969,47020,47031,47028,47026,47044,47066,47111,47153,47220,47287,47356,47413,47467,47542,47610,47722,47809,47877,47943
7,0.9237,43830,44178,44539,44929,45331,45816,46378,46963,47570,47985,48347,48621,48820,48924,48977,48989,48985,48983,49003,49029,49081,49128,49202,49276,49352,49418,49477,49557,49632,49751,49846,49923,49997
