Scale Height,Pressure,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,101300,-183,-183,-183,-183,-169,-133,-84,-35,7,30,38,30,13,-3,-14,-22,-25,-27,-22,-9,9,28,42,41,26,16,-10,-24,-26,-22,-9,-1,1
0.25,78893,1756,1756,1756,1756,1791,1851,1924,1998,2065,2110,2138,2148,2145,2138,2133,2129,2128,2128,2134,2144,2153,2155,2146,2120,2080,2041,1991,1948,1917,1894,1877,1862,1856
0.5,61442,3530,3534,3567,3615,3672,3758,3857,3957,4047,4115,4163,4191,4201,4201,4199,4197,4198,4201,4207,4214,4214,4198,4166,4115,4049,3983,3909,3843,3789,3746,3712,3685,3670
0.75,47851,5294,5301,5340,5400,5477,5588,5712,5835,5949,6039,6107,6152,6176,6185,6187,6188,6191,6195,6201,6203,6195,6161,6105,6028,5937,5846,5749,5662,5588,5527,5480,5443,5420
1,37266,6978,6989,7033,7104,7200,7333,7480,7626,7760,7871,7960,8024,8066,8085,8094,8098,8102,8107,8112,8108,8089,8036,7954,7852,7736,7622,7505,7398,7306,7231,7171,7125,7095
1.25,29023,8581,8597,8647,8728,8840,8992,9157,9320,9471,9600,9707,9791,9849,9879,9895,9903,9908,9914,9916,9905,9876,9804,9699,9572,9433,9301,9169,9049,8944,8858,8790,8737,8701
1.5,22603,10157,10178,10233,10322,10446,10612,10787,10958,11116,11254,11373,11470,11541,11579,11600,11611,11617,11623,11622,11606,11568,11483,11362,11218,11066,10924,10788,10663,10552,10461,10387,10330,10290
1.75,17603,11724,11757,11822,11921,12055,12224,12400,12566,12720,12853,12972,13071,13144,13181,13202,13212,13220,13226,13223,13204,13164,13076,12953,12806,12654,12513,12380,12259,12150,12058,11982,11922,11878
2,13709,13306,13356,13434,13541,13682,13847,14014,14166,14305,14421,14523,14608,14669,14697,14709,14714,14722,14730,14727,14710,14674,14598,14489,14356,14218,14086,13963,13848,13743,13652,13574,13512,13463
2.25,10677,14921,14987,15073,15185,15327,15482,15633,15765,15881,15969,16043,16101,16140,16149,16149,16146,16154,16163,16163,16152,16129,16072,15989,15884,15770,15654,15543,15436,15333,15242,15161,15094,15040
2.5,8315,16560,16640,16733,16846,16986,17124,17256,17364,17455,17513,17558,17589,17607,17598,17585,17574,17581,17591,17594,17590,17579,17543,17486,17408,17320,17220,17121,17020,16920,16826,16740,16667,16605
2.75,6476,18221,18313,18408,18520,18655,18772,18881,18965,19033,19065,19086,19096,19097,19076,19053,19035,19040,19050,19056,19058,19056,19034,18998,18940,18874,18787,18697,18600,18500,18402,18309,18228,18156
3,5043,19899,20000,20098,20207,20334,20426,20511,20572,20618,20628,20631,20627,20618,20588,20559,20534,20538,20548,20554,20560,20565,20552,20528,20485,20434,20355,20271,20175,20075,19969,19867,19777,19694
3.25,3928,21591,21699,21801,21905,22020,22091,22154,22192,22219,22211,22201,22187,22171,22136,22101,22069,22071,22081,22089,22098,22106,22098,22082,22046,22004,21926,21843,21745,21640,21526,21415,21315,21221
3.5,3059,23295,23405,23512,23612,23710,23764,23809,23828,23837,23815,23793,23772,23750,23711,23671,23632,23633,23644,23654,23664,23674,23668,23656,23622,23583,23502,23415,23311,23199,23074,22953,22843,22738
3.75,2382,25015,25116,25229,25323,25399,25440,25471,25473,25467,25436,25407,25381,25355,25312,25269,25226,25226,25238,25250,25261,25272,25265,25250,25213,25169,25082,24988,24873,24749,24612,24478,24356,24239
4,1855,26742,26830,26951,27042,27094,27122,27139,27126,27107,27071,27038,27009,26981,26936,26890,26845,26847,26860,26872,26884,26893,26881,26861,26814,26758,26661,26557,26428,26289,26137,25986,25851,25719
4.25,1445,28493,28567,28693,28781,28812,28822,28820,28793,28762,28725,28692,28663,28634,28586,28538,28493,28497,28511,28525,28534,28538,28519,28489,28427,28355,28243,28124,27979,27820,27652,27482,27329,27181
