Scale Height,Pressure (hPa),-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
0,1013,-50,-66,-82,-98,-114,-96,-54,-7,37,117,180,226,256,266,269,269,271,272,275,279,280,268,243,198,138,65,-14,-91,-162,-225,-277,-321,-355
0.25,788.93,1794,1803,1812,1821,1830,1876,1942,2013,2079,2174,2250,2307,2347,2363,2370,2373,2377,2381,2386,2390,2389,2370,2335,2277,2202,2111,2017,1925,1840,1763,1691,1630,1586
0.5,614.42,3453,3469,3560,3647,3687,3763,3856,3952,4043,4152,4243,4313,4362,4382,4392,4395,4400,4406,4413,4417,4414,4390,4345,4275,4186,4081,3971,3865,3768,3681,3598,3527,3474
0.75,478.51,5192,5213,5302,5399,5467,5571,5690,5811,5925,6049,6155,6238,6297,6325,6337,6342,6347,6354,6361,6364,6358,6327,6273,6191,6089,5970,5847,5729,5621,5524,5434,5356,5294
1,372.66,6852,6877,6963,7068,7164,7295,7439,7582,7719,7857,7978,8076,8147,8183,8201,8207,8213,8220,8226,8226,8216,8177,8112,8016,7902,7771,7637,7508,7390,7285,7189,7105,7037
1.25,290.23,8426,8455,8539,8651,8773,8930,9095,9257,9412,9562,9697,9810,9893,9936,9959,9968,9974,9981,9985,9982,9967,9921,9845,9737,9610,9471,9330,9194,9071,8962,8863,8778,8710
1.5,226.03,9950,9987,10069,10190,10339,10521,10706,10883,11048,11202,11342,11461,11549,11595,11620,11630,11637,11644,11647,11642,11624,11574,11492,11376,11244,11106,10967,10835,10715,10610,10516,10436,10372
1.75,176.03,11449,11505,11599,11735,11908,12107,12305,12487,12653,12800,12936,13051,13137,13180,13204,13213,13220,13226,13229,13224,13207,13156,13075,12960,12830,12698,12567,12444,12333,12236,12149,12076,12017
2,137.09,12940,13026,13143,13301,13496,13705,13909,14087,14245,14375,14495,14593,14665,14699,14716,14722,14726,14732,14737,14735,14722,14680,14609,14507,14391,14270,14152,14040,13938,13848,13767,13698,13640
2.25,106.77,14429,14548,14691,14873,15091,15310,15518,15687,15831,15934,16025,16095,16142,16160,16166,16166,16168,16173,16181,16185,16180,16153,16103,16026,15936,15834,15733,15635,15542,15458,15381,15314,15256
2.5,83.15,15921,16073,16241,16446,16688,16917,17129,17287,17417,17492,17554,17594,17617,17618,17614,17608,17607,17610,17622,17632,17637,17624,17595,17543,17479,17398,17313,17228,17144,17064,16990,16923,16863
2.75,64.76,17421,17606,17796,18021,18286,18525,18740,18890,19007,19057,19095,19112,19116,19106,19093,19082,19079,19081,19095,19109,19122,19121,19107,19075,19031,18965,18895,18819,18743,18665,18591,18522,18459
3,50.43,18934,19149,19361,19607,19891,20138,20355,20497,20604,20635,20654,20654,20645,20627,20609,20594,20588,20588,20605,20623,20641,20648,20644,20623,20594,20539,20478,20409,20337,20259,20183,20111,20043
3.25,39.28,20467,20708,20947,21219,21523,21769,21984,22115,22213,22228,22234,22222,22203,22180,22157,22137,22127,22126,22146,22168,22191,22202,22205,22191,22170,22119,22063,21996,21926,21845,21765,21688,21613
3.5,30.59,22018,22279,22551,22857,23177,23417,23625,23745,23834,23837,23833,23811,23785,23757,23730,23704,23690,23687,23712,23738,23764,23779,23787,23776,23758,23707,23651,23583,23511,23425,23339,23256,23173
3.75,23.82,23582,23849,24154,24498,24831,25067,25270,25383,25464,25461,25451,25424,25392,25362,25331,25300,25284,25281,25309,25338,25366,25383,25393,25381,25362,25306,25246,25173,25096,25002,24907,24815,24721
4,18.55,25157,25429,25766,26145,26488,26718,26917,27024,27101,27097,27086,27058,27023,26992,26959,26925,26907,26904,26934,26965,26995,27010,27018,27001,26977,26915,26848,26767,26680,26577,26472,26368,26263
4.25,14.45,26775,27052,27411,27812,28156,28377,28567,28670,28745,28745,28740,28715,28683,28651,28617,28581,28564,28560,28592,28624,28654,28663,28664,28639,28605,28535,28458,28367,28267,28155,28038,27922,27803
4.5,11.25,28452,28733,29102,29507,29842,30047,30225,30322,30398,30408,30413,30397,30371,30338,30302,30267,30251,30249,30281,30312,30338,30339,30330,30294,30249,30169,30080,29976,29861,29741,29611,29481,29346
4.75,8.764,30200,30484,30848,31240,31556,31740,31901,31993,32070,32093,32112,32106,32091,32058,32022,31989,31975,31973,32004,32031,32050,32040,32019,31970,31913,31820,31717,31599,31468,31337,31191,31044,30891
5,6.826,32024,32303,32652,33020,33309,33466,33610,33696,33776,33811,33842,33849,33845,33817,33783,33753,33738,33735,33763,33782,33792,33770,33736,33673,33602,33494,33375,33240,33093,32943,32775,32608,32434
5.25,5.316,33930,34198,34522,34854,35108,35236,35362,35443,35526,35571,35613,35634,35641,35621,35594,35565,35548,35542,35564,35574,35571,35537,35487,35410,35325,35201,35063,34909,34743,34566,34369,34178,33980
5.5,4.14,35899,36149,36442,36732,36947,37044,37152,37228,37316,37369,37419,37453,37472,37461,37441,37414,37396,37386,37401,37401,37385,37336,37271,37179,37079,36939,36782,36606,36416,36209,35979,35763,35539
5.75,3.224,37920,38148,38405,38650,38824,38890,38981,39053,39146,39205,39262,39308,39337,39335,39322,39297,39277,39264,39274,39263,39235,39170,39087,38981,38866,38710,38534,38334,38118,37878,37613,37371,37123
6,2.511,39980,40183,40404,40602,40736,40773,40849,40917,41015,41079,41142,41199,41237,41241,41233,41210,41190,41176,41179,41159,41119,41038,40938,40818,40689,40517,40321,40095,39850,39579,39280,39013,38742
6.25,1.956,42061,42240,42426,42583,42683,42696,42760,42824,42925,42995,43063,43129,43172,43180,43176,43155,43135,43119,43118,43090,43040,42944,42829,42696,42553,42365,42149,41898,41624,41323,40994,40704,40412
6.5,1.523,44143,44299,44454,44577,44651,44644,44698,44759,44864,44940,45014,45084,45131,45140,45137,45118,45099,45082,45077,45043,44984,44877,44750,44605,44449,44244,44009,43734,43435,43108,42751,42441,42129
6.75,1.186,46222,46354,46483,46577,46629,46605,46652,46712,46820,46902,46981,47055,47103,47111,47109,47091,47072,47055,47047,47007,46942,46828,46692,46537,46369,46146,45893,45597,45276,44930,44549,44222,43895
7,0.9237,48291,48401,48504,48572,48605,48566,48606,48666,48780,48868,48951,49027,49076,49083,49080,49064,49046,49028,49017,48973,48901,48785,48645,48482,48304,48063,47791,47479,47142,46782,46384,46044,45705
