Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,233.7,270.5,274.5,280.8,288.9,295,298.8,301,301.1,300.5,297.8,292.6,286,280.3,273.1,262.2,253.2
5000,233.7,237.8,244.1,252.5,260.7,266.9,271.2,272.4,272.5,272.4,270.2,264.9,257.6,250.8,245.2,240.9,237.9
10000,218.3,219.7,220.6,222,226,231.6,237,239.3,239.7,238.9,235.5,229.4,223.5,221.2,221.1,221.5,221.4
15000,217.1,219.1,219.8,217.6,213.1,207.4,202.5,199.5,199.1,199.8,203,208.6,214.6,218.8,221.4,222.9,223.5
20000,212.1,214.6,216.9,217.4,214.9,211.3,208,206.4,206,206.4,208.5,211.6,215.1,218.6,221.1,222.9,224.1
25000,203.6,209,216.3,219.7,221.2,221.6,221.5,221.1,220.3,220.1,220.6,220.4,219.4,219.8,221.5,224.3,227
30000,210.3,211.9,215,220.6,225.1,228.4,230.6,231.5,231,230.4,231.6,230.7,228.4,226.6,225.8,225.2,225.1
35000,220,219.5,223.6,229.6,235.3,239.4,243,246.5,247.8,247.5,246,245.1,245.2,243.5,239.9,235.5,233.3
40000,237,236.2,237.9,243.8,248.6,252.3,257,260.4,261.6,261.1,259.5,259,260.9,260,256.2,252,249.2
45000,252.8,252.3,252.2,256.1,260.9,263.8,267,269.5,270.2,269.7,269,269.2,270.4,270.9,268.7,265.5,263.2
50000,258.9,257.2,255.5,257.7,263.4,265.9,267.1,269.2,269.7,269.2,268.2,268.2,269.6,269.5,269.3,269.1,268.7
