Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,229.3,270,273,278.2,285.3,291,295.8,299,299.9,300.9,300.2,298.9,294.8,287,283.8,279.3,273.4
5000,229.3,234.4,241,247.9,254.5,262.1,269.4,271.8,271.6,271.9,272.4,271.9,268.8,263.2,258.5,254.8,251.5
10000,201,204.9,210.6,217.2,223,229.3,235.3,237.7,237.9,238.5,239.1,238.6,234.8,229.6,227,226.4,227.1
15000,191.4,196.7,205.8,214.4,215.9,210.5,204.4,202,202,202.4,204.1,207.2,212.4,219.2,223.9,226.9,229.3
20000,187.6,194.5,204.3,213.4,217,214.6,211.3,209.9,209.4,209.3,210.4,212.6,216.1,221,225,227.7,229.8
25000,183.2,192.8,204.3,215.4,221,221.7,220.7,219.2,218.2,218.7,219.5,221.1,222.7,224.5,226.3,227.9,229.4
30000,219.5,221,218.9,220,224.8,228.1,228.3,228.6,227.9,228.3,228.5,229.6,230.8,233.5,234.7,235.8,236.4
35000,244.9,245.7,240.8,233.5,233,236.3,240,241.3,241.4,240.6,240.4,240.2,241.9,245.1,247.3,248.6,248.7
40000,258.9,259.7,255.8,247.8,245.7,249,253.3,255,254.9,253.5,251.9,252.5,255.5,257.2,259.5,261.6,262.2
45000,269.1,267.5,263.1,256.8,257,261.1,265.2,265.6,265,263.7,263.6,262.9,264.9,266.9,269.5,271.6,273
50000,275.2,270.5,263.4,255.9,256.3,261.3,266.1,267.4,267.1,266,263.8,263.1,263.8,267.1,269.2,272.4,275.5
