Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,240.9,271.5,275,281.3,288.6,294.6,298.2,300.2,300.5,300.3,298.1,293,286,279.1,268.1,257,251.6
5000,240.9,243,247,253.9,261.7,267.7,271.2,272.1,272.3,272.4,270.1,263.1,254.1,246.3,240.9,236.7,233.4
10000,223.1,222.6,222.7,224,227.6,232.9,237.3,238.8,238.9,238.3,235.3,228.9,222.2,219.3,217.9,216.1,214.8
15000,231.9,230.1,226.8,220.9,213.5,206.9,202.2,199.4,198.9,199.2,201.6,207.2,213.5,217,216.7,213.6,210.4
20000,236.1,234,229.3,222.3,215.7,211,208,206.5,205.6,206,207.8,210.5,214.2,215.9,214.1,209.2,204.3
25000,236.2,235.4,232.8,228.4,224.7,222.2,220.4,219.5,218.7,218.8,219.2,218.7,217.4,214.5,209,201.1,193.8
30000,245,244.9,242.7,238,234.7,231.7,230.2,228.6,228.6,229.2,228.3,227.5,223.1,217.1,211.3,203.6,201
35000,263.4,261.8,258.4,254.7,251.6,248.9,246.1,244.8,245.3,245.3,244.4,240.1,233.7,223.8,219.3,217.6,219.5
40000,277.8,275.7,272.8,269.9,266.7,263.6,260,257.3,256.9,257.2,258.6,255.3,247.1,236.9,233,233.6,235.6
45000,287.2,284.5,281.6,278.3,276.3,272.5,268.7,264.9,263.8,264.1,266.8,264.7,259.6,249.4,246.6,249.1,250.5
50000,288.8,284.9,280.6,276.6,273.8,271,268.9,266.4,265.7,265.8,265.7,262.9,258.2,253.5,254.2,258.6,260.1
