Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,239.2,272,276.2,282.2,290,296.3,299.5,300.7,300.6,299.8,296.7,291.2,284.3,277.6,266.5,254,247.4
5000,239.2,241.6,247.4,256.5,264.8,269.8,272,272.3,272.3,272.5,269.4,261.7,252.2,244.3,239.3,235.6,233
10000,226.1,226.1,225.3,226.5,230.7,235.5,238.7,239.1,239.1,238.9,236,228.9,221.6,219,217.5,215.6,213.7
15000,230.7,229.7,226.1,219.2,212.1,206.2,202,199.9,199.8,200.1,202.5,208.3,215.2,218.8,217.9,214.6,210.4
20000,232.2,230.7,227.7,221.5,215.1,210.3,207.3,205.3,204.1,204.6,207,210.3,214.8,217.6,217.1,213.8,209.1
25000,232.8,231.2,229.2,226.7,224.3,221.9,219.5,218.5,217.9,217.9,217.8,218.3,218.4,218.1,216.2,213.6,210.4
30000,239.4,239.1,238.6,236.7,233.8,231.9,229.9,228.9,228.2,228.8,229,228.8,225.1,221.9,222.2,224,222.9
35000,253.9,253,251.8,250,247.4,245.8,245.5,244.6,244.9,244.9,245,242.3,238,232.4,231.9,232.5,231.3
40000,267.1,265.6,264,262.5,261.6,259,258.2,259,259.9,260.1,259.6,256.7,252.2,245.5,242,239.2,236.7
45000,276.9,275.1,273.5,271.5,270,267.9,268.3,268.4,269.7,270.2,270,266.8,262.3,255.6,250.2,246.8,245.5
50000,278.8,276.1,273.3,271.5,268.6,267.1,267.4,270,271.4,271.4,269.5,265.1,260.3,254.9,253.3,254.7,257.9
