Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,240.8,272,275.2,281.4,289.5,295.9,298.9,300.5,300.6,300,297.1,291.7,284.7,277.7,266.4,254.1,248.6
5000,240.8,243.7,248.3,255.8,263.8,269.4,271.9,272.3,272.4,272.4,269.6,261.8,252.5,244.5,239.1,234.8,231.9
10000,226.9,225.5,224.8,225.9,229.8,235,238.3,239,239.2,238.6,235.4,228.6,221.6,218.8,217.1,215.2,214
15000,232.5,231.3,227.3,220.3,212.3,206,202,199.8,199.3,199.7,202.2,208.1,214.7,217.9,217,214.1,211.2
20000,234.6,233.2,229.6,222.8,215.5,210.2,207.4,205.3,204.3,204.6,206.7,210,214.5,216.8,215.5,211.4,205.9
25000,235.6,233.8,232.6,229,225.4,222.1,219.2,218.1,217.5,218,218.3,219.3,219.6,218.2,213.8,207.8,202
30000,244.5,244.1,243.7,240.7,236.1,232,228.9,227.8,227.2,228,228.1,228.5,227.5,226.2,224.7,221.7,219.1
35000,261.8,260.5,258.1,254.6,250.6,246.8,244.1,242.3,242.5,242.1,241.7,239.2,237.4,235.4,235.7,236.3,236.6
40000,276.2,274.1,271.2,267.6,264.1,260.2,256.5,254.9,255.2,255.2,255.8,254,250,246.4,246.5,246.7,246.9
45000,286.1,283.4,280,275.8,272.8,269.5,267.1,264,263.8,264.5,265.8,264.4,260.6,254.4,252.3,252,251
50000,288.5,284.4,279.7,275.4,271.4,268.7,267.4,267.8,267.8,267.9,267,263.4,259.2,253.5,253.5,255,255.4
