Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,229.9,267.4,273.9,279.4,286.2,291.3,295.9,299.3,300.1,300.8,299.9,298,293.1,285.4,283.6,279.6,274.2
5000,229.9,233,240.4,247.7,254.7,262.3,269.2,271.9,271.8,271.9,272.1,271.8,268.6,263.6,259.7,256.5,253.6
10000,202.5,205.5,210.8,216.6,222.3,229.1,235.4,237.8,238.1,238.6,239,238.6,234.8,230,227.9,227.9,228.8
15000,192.2,197.8,206.4,214.2,215.5,210.1,204.3,202.1,202.1,202.5,204.2,207.5,212.9,219.8,224.6,228.1,230.9
20000,186.5,194,202.8,211.3,215.1,213.6,210.9,209.3,208.6,209,210.5,212.6,216.3,221.6,226.3,229.8,232.3
25000,179.2,186.9,197.4,211.2,219.2,221,221.2,220,219.4,220,220.8,222.1,223.7,225.8,228.3,230.8,233.3
30000,209.2,208.3,206.5,210.4,220.3,227,228.5,229.1,228.5,228.8,229.1,230.6,232.6,235.7,237.7,240,241.2
35000,234,233.2,227.5,222.3,226.7,233.6,238.7,240.8,241.5,240.5,240.8,242,244.5,248.4,251.7,254.2,254.9
40000,248.2,249.1,246.1,240.9,241.8,248,251.5,252.4,252.5,251.5,251.5,254.2,257.6,261.5,265.6,268.7,269.9
45000,261.1,261,258.1,254.5,257,260.8,262.9,262,261,260.8,263.1,264.5,267.7,270.9,275.3,278.8,281.1
50000,271.9,269,264,258.1,258.5,262.1,265.1,265.1,264.4,264.1,263.9,264.7,267.2,271.1,275.4,280.4,284.5
