Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,231.1,268.4,274.2,279.9,286.3,292,296.9,300,300.7,300.8,299.5,296.2,290.1,283.1,281.3,276.2,271.2
5000,231.1,235,241.7,248.9,255.5,262.7,269.3,272,272.2,272.3,272.1,270.2,265.6,260.2,255.9,252.5,249.5
10000,207.1,210.4,213.9,218,222.4,228.8,235.5,238.3,238.9,239.1,238.6,236,230.6,226.8,226.1,227.2,228.8
15000,198,204,210.8,215.9,215.6,209.7,203.8,200.8,200.8,201.2,203.3,207.5,213.7,220.1,224.5,227.9,230.7
20000,191.3,198.9,206.6,213.3,215.2,212.9,210.2,208.8,208.1,208.6,210.2,212.7,216.7,221.6,225.9,229.6,232.2
25000,180.2,188.8,200.4,211.2,218.1,220.7,221.3,220.5,220.3,221,221.9,222.5,223.4,225.1,227.8,230.3,232.9
30000,199.8,199.9,200.5,206.6,217.1,225.7,228.7,230.7,230.4,230.4,231.5,232.1,233.6,235.1,237.6,239.7,241.1
35000,223.4,222.3,215.7,212.6,221.8,232.5,240.5,244.1,244.7,243.7,243.1,244.9,246.9,249.7,252.5,255.1,255.7
40000,240.1,239.4,235,231.4,236.9,247.1,253.4,254.7,255,254.7,255.3,257.8,260.8,264.6,267.7,270.7,271.9
45000,257.1,254.9,250.6,247.3,252.8,259.3,263.7,262.5,262.5,263.1,265.2,268,271.6,274.3,277.8,281.1,283.4
50000,267.3,265.1,259.5,254.5,254.7,260.5,264.3,264.8,264.4,264.6,266.2,267.7,269.8,273.9,277.7,282.2,285.9
