Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,235.9,271.8,275,281.3,289.7,296,299.4,301,300.9,300.1,297,291.4,284.8,279,268.5,256.4,248.2
5000,235.9,239.8,246.8,255.7,263.5,268.8,271.8,272.3,272.4,272.4,269.8,262.6,254.2,246.8,241.4,237.2,234
10000,224.2,223.9,223.3,224.8,229,234.3,238.1,239.2,239.3,238.9,235.7,228.7,222.1,219.6,218.9,217.6,215.8
15000,225.4,225.5,223.4,218.5,212.5,206.4,202,199.6,199.3,199.9,202.8,208.6,215.2,218.9,219.4,217.6,214.6
20000,224.2,223.8,222.3,219.7,215.3,210.9,207.4,205.6,205.3,205.4,207.3,210.8,215.2,218.2,218.8,217.2,214.6
25000,221.6,221.7,223.3,223.2,222.6,221.6,220.7,220.3,219.3,218.9,218.9,218.9,218.4,218.1,218.2,218.8,219.7
30000,225.7,227.1,228.3,229.1,229.8,230.2,230.5,230,229.7,229.8,230.1,229.3,225.5,221.9,221,222.4,224.4
35000,235,236.7,239.4,241.5,242.1,243.4,244.4,245.5,246.2,246.4,245.4,243.1,240.6,236.4,233,231.8,232
40000,247.9,248.8,251.4,255.1,256.5,256.4,258.7,260.9,261.9,261.6,260.1,257.2,255.7,252.4,247.9,243.1,240.2
45000,259.7,261,263.4,265.7,266.3,266.1,268.3,270.5,271.6,271.3,270,267.5,266,263.5,260.2,256.6,254.4
50000,263.6,263.8,264.5,266.3,267.3,267.3,267.8,270.2,271.5,270.7,268.8,265.9,264.7,262.4,261.1,261.2,261.9
