Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,235.6,269.9,274.4,280.2,287.3,292.9,297.2,299.7,300.2,300.6,299.3,295,288.3,281,271.8,261.2,255.7
5000,235.6,238.7,244.5,252.1,259.8,266.1,270.5,271.9,272.1,272.5,270.9,265.2,257.5,249.8,243.3,238.7,236
10000,214.8,216.5,219,222.5,226.2,231.1,236.3,238.5,238.9,238.6,236,230.4,223.9,220.5,219.3,218.1,216.9
15000,226.1,225.4,223.4,220.4,215.2,208.6,202.8,199.3,198.9,199.3,201.6,206.6,212.4,216.5,217.9,216.6,214.5
20000,233.8,231.8,227.9,222,216.6,211.8,208.6,207.2,206.7,206.8,208.5,210.7,213.8,215.6,215.3,212.2,208.7
25000,235.5,234.6,230.4,226.9,222.9,221,219.9,219.3,219,219.3,219.5,218.6,216.9,214.5,210.6,206.1,201.9
30000,246.6,243.6,238.6,232.5,229.4,229.9,230.5,229.9,230.6,230.8,228.9,225.8,220.4,215.1,209.9,205.4,201
35000,263.3,259.9,255.1,250.7,247.9,246.6,246.9,247.8,247.9,246.8,243.9,238.1,231.5,223.9,219.4,215,211.2
40000,277.7,274.2,269.5,267,265.3,262.2,261,260.3,260,259.6,257.8,252.7,245.6,239,234.9,232.4,231.4
45000,284.4,281.4,278.4,276.4,275.1,272.6,269.8,267.6,266.7,266.6,266.9,263.6,259.2,252.5,249.8,251.4,253.2
50000,283.7,280.3,276.7,274.2,273,271.9,269.8,267,266.5,266.4,265.3,263.3,259.5,256.9,256.6,260.2,261.7
