Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,233.1,273.3,276.4,280.5,286.4,292.1,296.5,299.3,300.1,300.9,300.1,297,291.1,283.5,277,268.3,261.6
5000,233.1,236.9,242.9,249.8,257.4,264.4,269.4,271.9,272.1,272.4,271.8,268.2,262,254.8,248.4,243.3,239
10000,205.6,209.1,214.4,220.2,224.8,230.2,235.8,238.4,238.7,238.7,237.5,233.4,227.3,223.2,221.4,220.6,220.5
15000,203.1,207.6,214,218.5,216.8,210.2,203.9,200.5,200.1,200.4,202.1,206.3,212,216.9,220,220.6,220.2
20000,209,212,216.4,219.6,218.4,213.9,210.1,208.3,208.1,208.1,209.4,211.7,214.5,217.2,218.4,217.1,215.1
25000,216.6,220.2,225.8,224.6,222.9,221.5,220.3,219.6,218.9,219.2,219.9,220.2,219.5,218.2,216.4,213.7,210.6
30000,242.8,238.5,232,226.7,225.8,228.9,231.1,230.8,231.4,231.5,230.7,228,225.1,222.1,218.5,215.6,211.4
35000,269,260,247.5,240,239.2,241.7,245,247.1,247.2,245.9,242.9,239.3,235.8,231.8,227,219.2,212.9
40000,283.6,274.1,261.6,255,254.6,255.7,258.3,260,260.3,259.3,256.4,252.3,249.1,245.4,239.2,232.6,228.9
45000,284,277.1,269.8,266.2,266.1,267.5,268.3,268.5,268.8,268.1,266.4,263.9,261.3,257.1,252.5,249.2,247.8
50000,279.3,273.1,267.7,264.9,266.3,267.5,268.1,268.1,268.6,268,266.5,266,263.7,259,256.5,255.8,256.3
