Alt / Lat,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80
0,229.5,271.3,274.1,278.8,285.3,291,295.9,299.1,299.8,300.8,300.3,298.5,293.5,286.1,281.3,275.5,268.6
5000,229.5,234.2,241.2,248.3,255.6,263.4,269.6,271.9,272,272.3,272.2,270.8,266.1,259.3,253.8,249.5,246.5
10000,201.6,205.2,211.3,218.2,223.7,229.8,235.5,238.1,238.5,238.8,238.6,236.6,231.4,226.4,224.1,223.6,223.8
15000,193.8,198.7,207.2,215.8,216.7,210.6,204.4,201.7,201.6,201.8,203.2,206.3,212,218.2,222.2,224.1,225.2
20000,196.6,200.5,208.3,216.7,218.3,214.6,210.8,209,208.7,208.8,210.2,212.8,216,219.6,222,223,223.3
25000,202.4,208.1,214.1,220.8,222.9,221.8,220.2,219.2,218.2,218.3,219.1,220.1,221,221.6,222,221.8,221.4
30000,237.4,235,229,225.1,225.7,228.3,229.5,229.7,229.6,229.7,229.7,228.7,228.7,228.4,228,226.7,225.5
35000,262.7,257.3,246.1,236.6,235.3,238.8,242.9,244.5,244,243.1,241.7,240.4,239.6,239.7,238.5,234.8,232.9
40000,273.5,268.3,258.6,249.4,248,251.6,256.6,258.4,258.4,257.2,255.2,252.9,253.2,252.3,249.6,246,244.3
45000,277.2,270.9,263.5,258.3,259.1,263.2,267.1,268.2,268.2,267.1,265.6,263.5,263.2,262.8,260.9,258.3,256.4
50000,278,269.4,260.7,256.7,259,263.2,266.7,268.1,268.4,267.4,266,265.3,264.4,263.5,262.5,262.2,261.7
