forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,-6.146532567317426,114.59330495749332,30268.1889774155,173.9775530849181,0.10110121196531303,inf
6.0,-9.603325850395484,109.13556054108192,26245.77774747615,162.00548678201042,0.0853036671706907,4.46636366597082
12.0,-10.059340853199263,106.13097178543484,25066.222682107174,158.32315902011044,0.09493937666019105,2.9265649129766222
18.0,-11.76206540902256,107.11603261070893,24987.695555437545,158.07496814941177,0.10385333540068138,2.2261800222494923
24.0,-8.981384162956672,101.84522589993688,22534.698629179275,150.115617539213,0.0871441851321453,1.8716427822889594
30.0,-9.729174827819456,98.03733981381522,19904.70786784643,141.08404540502244,0.11660850795487135,1.4258988441778808
36.0,-7.2835350492740245,96.25484062587793,19650.84474908827,140.1814707765911,0.12388917885781388,1.212756093655386
42.0,-5.974983282205911,98.26251180385572,20609.92087953543,143.5615578054774,0.2146390182304851,1.1542924266117358
48.0,0.030232661770651627,94.80201360560679,19628.374408674776,140.10130052456606,0.08518989075961815,1.051712629795462
54.0,3.4334383604739407,92.68861131274042,18669.754978154277,136.6373118081378,0.10032225988759748,0.9343596880936917
60.0,8.40668191605234,94.65660575742959,19708.433279907676,140.38672757745897,0.13773823567144122,0.9082061279045659
66.0,10.422392704054275,100.57541380739505,21496.55123506991,146.61702232370533,0.10714785961146689,0.9363749716831328
72.0,14.655899646553019,99.03488906415394,20381.038488618295,142.76217457232252,0.20856771438558883,0.9171206022411176
78.0,14.984569849588615,97.75497657399161,18990.37540778448,137.80557103319327,0.09233598870436274,0.8520955324929782
84.0,16.466694547512514,96.6712448108688,19298.93044914746,138.9205904434165,0.08923183005993966,0.843838389612458
90.0,14.140305071945802,99.00193440473663,20108.809554268606,141.80553428646078,0.159162749008267,0.8631213709160607
96.0,12.659589664445502,91.40552147530424,17851.307140508616,133.60878391972818,0.07932786312770346,0.8258874647802449
102.0,8.027896162637482,81.61195169913465,14447.593061927986,120.19814084222762,0.10007679046336454,0.7338387391541585
108.0,5.473754115620723,74.94466903934462,12997.295536977383,114.00568203812205,0.08796075114203736,0.686190575413004
114.0,0.6814154710772694,74.82895356893933,12540.82647400715,111.9858315770667,0.12804915170921544,0.7037957908827759
120.0,-0.02116571553196951,69.71505772304359,10806.122383493774,103.95250061202844,0.12099746762525998,0.6614657457145052
