forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.014978789311172906,0.16690100175401046,0.11287208778157871,0.3359644144572141,inf,inf
6.0,0.04890720819668317,2.8939773261976254,24.755657850286674,4.97550578838842,2.4378631430084248,1.29294075240952
12.0,0.06559555444988026,3.4889605430562876,33.32588294244286,5.772857433060586,inf,1.0825074306230036
18.0,0.05826030527098993,4.227487518078528,43.69799767272921,6.610446102399536,4.574756428540826,1.047537189095002
24.0,0.05290780436687602,4.546641341675977,54.43889247446999,7.378271645478363,5.8049856510244755,1.0193417926927615
30.0,0.014611876929460801,5.009280144917369,59.07312279272828,7.685904162343444,inf,1.0122781199710593
36.0,0.023293727837386168,5.111107701895435,59.470372528558464,7.711703607411171,135478517935.2987,0.9816188645082646
42.0,0.05587768406633645,5.480556168739149,64.3606356054933,8.022508062039782,4.1898464713322925,0.9645639900814184
48.0,0.08418232565353403,5.458832213663844,60.709827666946325,7.79165115151765,3.485994343883972,0.9716475040306207
54.0,0.07107490176280254,5.989475022800607,71.04942918314806,8.429082345258472,2.7613494856425294,0.9686073108058703
60.0,0.054525229215464883,5.81581348120918,67.03274719194413,8.187352880629009,inf,0.9631084157715502
66.0,0.01175918623865508,5.955218515541833,66.29159289302822,8.141964928260759,4.040384844041406,0.9897721810200253
72.0,0.03253978775764104,5.979983538313483,69.67700696622775,8.347275421730599,6.206785376982532,1.0310224455476305
78.0,0.05667661366144262,6.145483546658327,68.7880798044,8.293857956608614,3.604903401959777,0.993428448361725
84.0,0.07983025133805509,6.241313637114511,75.93507243258166,8.714073240028549,3.3867980581802555,0.9902128276691339
90.0,0.09327625126908963,6.578721724462249,87.1839462250654,9.33723439917117,101221010348.83728,0.9747565759401537
96.0,0.08543087633248193,6.79945535077041,110.02018112064,10.489050534754803,3.884131041449304,0.9668435029473273
102.0,0.08609269397865976,7.505086677038387,168.14297903352647,12.96699575975586,3.4427426929219993,0.9664300359720388
108.0,0.07400213891376295,7.941104198605829,295.24929963455,17.182819897634673,2.6908597044306997,0.968098059959797
114.0,0.03951983122456881,7.26215557642416,229.22347832012338,15.14012808136455,2.9859431746812746,0.9891586435180435
120.0,-0.013942027119283516,6.79648150845902,139.66715852544945,11.818086077087502,4.472535123341717,0.976662414856921
