forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,0.15248893909122516,6.505951895802982,75.84793335383334,8.709071899682154,4.808548471010553,inf
6.0,0.20063144725110313,6.16104016688356,68.41525917154816,8.271351713689134,inf,4.182007183703324
12.0,0.052605836371305684,5.985503730437761,64.74643329777889,8.046516842571007,inf,2.7319064493376266
18.0,0.20227041531073153,5.785655555567002,60.665809872805184,7.788825962415978,2.413289328404648,2.019332226032475
24.0,0.09871125069132158,5.630883849376861,57.29060250526543,7.569055588728718,inf,1.6786398414631825
30.0,0.0655913503926249,5.596235521140196,57.024879332775036,7.551481929580116,inf,1.4063756360719815
36.0,-0.28534974259755913,5.535687976993868,55.63905943885241,7.459159432459693,3.015206166469693,1.2456985607034488
42.0,-0.3760232977751986,5.395442793706926,52.60215219559917,7.252734118634101,2987980269.5877104,1.112151198595407
48.0,-0.7110920129673569,5.401232515583364,52.2819717814678,7.230627343562093,inf,1.05160426918716
54.0,-0.7972563119717259,5.476306085328113,53.92042600893473,7.34305290794876,inf,1.0007553290961353
60.0,-1.0483657255576668,5.574117543317066,55.456943200090855,7.446941868988294,inf,0.9645089288015939
66.0,-1.0289194494635658,5.56798227496362,55.07562078113722,7.4212950878628465,inf,0.9307644903191826
72.0,-1.1565759991256577,5.604583553634682,55.43823897491706,7.445685930451073,2.933190201027174,0.9195505862531574
78.0,-0.91723619672971,5.666361886351939,56.73520412910261,7.532277486199152,inf,0.9171406133226759
84.0,-0.7428046135660495,5.5850799588802085,55.42801119587411,7.444999072926343,2415622073.672262,0.9019795526689909
90.0,-0.28521929295167237,5.434464480676218,53.19062850728452,7.293190557450458,3.607648864478417,0.8844717616495149
96.0,-0.15995958422651627,5.396833329492039,51.7114126431362,7.191064778121262,inf,0.8860149431264374
102.0,0.19834097504361722,5.522961144581588,54.59926863122397,7.389131791436933,inf,0.9058573773223767
108.0,0.21885231146511205,5.556455828032627,54.880067332018086,7.408108215463519,inf,0.9175208804840327
114.0,0.5025779018082365,5.449023120277837,53.30657513259348,7.30113519478947,inf,0.903225730634108
120.0,0.3254624756179078,5.25353332031841,48.889960435733286,6.9921356133682995,inf,0.8859235870526134
