forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,-0.011487175813083028,1.0502648933125758,3.5410122221288955,1.8817577479922583,inf,inf
6.0,0.07497569060368696,1.172597616279503,3.807907215484946,1.951385972965099,inf,0.7152171459473143
12.0,-0.03719758079271382,1.317580389825045,5.622014038300426,2.3710786655656166,14751320748147.602,0.5338315680247743
18.0,-0.031604052746792545,1.2286952119924157,3.551475658446401,1.884535926547011,inf,0.43232032159708983
24.0,-0.10778118401789519,1.3669496443599223,4.5616033716245825,2.1357910411893255,inf,0.42323322892332615
30.0,0.0631866503044758,1.3453867892807996,3.8287432059186095,1.9567174568441428,inf,0.3708993275110422
36.0,-0.06118775278498658,1.5637976144311816,5.536446112071061,2.3529653869258382,inf,0.41207459645726907
42.0,-0.21660403933063996,1.6289417903412082,7.380778629016497,2.716758846312366,inf,0.40458831904062065
48.0,-0.034656366276969004,1.582772585713004,7.361530578761384,2.7132140679941537,inf,0.38188889985082836
54.0,-0.12637086584236482,1.5527998819422193,6.606118919850006,2.5702371329996008,inf,0.3654831595571257
60.0,-0.1843591717619105,1.6063185454930002,5.474237862842018,2.3397089269483966,inf,0.38283157962102027
66.0,-0.041122066506894435,1.5483645396090646,5.299526231499197,2.3020699884015685,inf,0.3758852799650318
72.0,-0.1413108182723481,1.8028990006927248,7.201909637020965,2.683637389257529,inf,0.4192204606582477
78.0,-0.09410558868866375,1.7558165901767895,5.9339688083305955,2.4359738931956136,inf,0.402718089475458
84.0,-0.13686912471035576,2.1565045601194326,9.60003884520726,3.0983929455779586,inf,0.48323769186701837
90.0,-0.04644848241144022,2.111802852445494,9.139706778239445,3.0231947966082906,inf,0.46337895981069915
96.0,0.011622168667118455,2.046098692826551,8.731901303354777,2.954979069867463,inf,0.46270137009956913
102.0,-0.09969791949045236,2.0453806725220534,9.226781998961338,3.037561851051158,inf,0.44563934581887427
108.0,-0.03563751358072913,2.092435519661964,9.706420061296125,3.1155128087196378,inf,0.45690784648719585
114.0,0.006697173733673233,2.2548940882332875,10.291253020391215,3.207998288713885,inf,0.47689375870446166
