forecast_period,forecast_bias,mae,mse,rmse,mape,mase
0.0,-0.029422983119248805,0.9151363173426397,2.236863947537364,1.4956149061631354,inf,inf
6.0,-0.09739092686268531,1.1066906788998143,3.6092779542888263,1.8998099784685905,inf,0.7625144536162178
12.0,-0.005580799444308196,1.081311144224881,2.500313795668312,1.5812380578737384,20968365352271.816,0.5127136921458314
18.0,-0.11420894384657028,1.1776304539607947,3.8573261830644183,1.9640076840645044,inf,0.4639136355562455
24.0,-0.0804880951980493,1.1805619249618589,3.4643849057658938,1.8612858205460798,inf,0.4170302414739456
30.0,-0.09975369113531943,1.2850194329185354,3.8918023331575995,1.9727651490123195,inf,0.42476735205282756
36.0,-0.048336812428220466,1.298464058384388,3.820811247742615,1.9546895527788075,inf,0.4134980022004608
42.0,0.014123396319121463,1.4955376549870565,6.174844927974969,2.4849235255787994,inf,0.42565734214928247
48.0,-0.07143766764628134,1.3510132287243493,4.314516106744853,2.07714133046956,inf,0.38052778111969815
54.0,-0.07013532444010173,1.4627976113008292,5.152005333606358,2.269802928363244,inf,0.41209919471562617
60.0,0.03667182403685982,1.46312272331731,4.739480158738344,2.177034716934561,inf,0.4019837211369891
66.0,-0.0758036439099115,1.6756281367020354,6.18830577510553,2.487630554384137,inf,0.46517216210905626
72.0,-0.05161687127764983,1.6903771757477235,6.6096438442309235,2.5709227612339745,inf,0.4717064849952703
78.0,-0.03908854114005682,1.7920623380176068,6.717107326147161,2.5917382827259314,inf,0.4817751333233344
84.0,-0.07792158863826688,1.965942565001087,7.377438740573511,2.716144094221349,inf,0.5199472668492534
90.0,0.015300155960739501,2.1177347822639008,9.77659116175182,3.1267540935852023,inf,0.5664135139051298
96.0,-0.05277010163168527,1.937546879367975,7.839214191195233,2.799859673482804,inf,0.5313826632952737
102.0,-0.10965640282552416,2.019513387273235,8.974115094242094,2.9956827425884227,inf,0.5330594893300726
108.0,-0.0474125312220669,2.127764003237365,9.486043762653345,3.079942168718975,inf,0.5554358826599267
114.0,0.04196852213126989,2.186366450892695,10.138769021205789,3.1841433732176365,inf,0.5606852274961974
